Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
42,14871,Robert Woods,LAR,13,30,WR,WR14,null,null,null,null,null,40.3
43,20768,Myles Gaskin,MIA,14,25,RB,RB22,null,null,null,null,null,40.9
44,13291,Julio Jones,TEN,null,33,WR,WR15,43.1,43.1,43.1,43.1,43.1,43.1
45,16887,Mike Davis,ATL,6,29,RB,RB23,null,null,null,null,null,43.4
46,19781,Lamar Jackson,BAL,8,25,QB,QB4,null,null,null,null,null,44.6
47,16765,Amari Cooper,DAL,13,27,WR,WR16,null,null,null,null,null,45.2
48,22558,Javonte Williams,DEN,11,22,RB,RB24,null,null,null,null,null,47.2
49,18880,Chris Godwin,TB,9,26,WR,WR17,null,null,null,null,null,47.3
50,15534,Adam Thielen,MIN,7,31,WR,WR18,null,null,null,null,null,48.5
51,20790,Damien Harris,NE,14,25,RB,RB25,null,null,null,null,null,49.5
51,19803,Mark Andrews,BAL,8,26,TE,TE5,null,null,null,null,null,49.5
53,17217,Raheem Mostert,SF,14,30,RB,RB26,null,null,null,null,null,50.3
54,20239,Gus Edwards,BAL,8,27,RB,RB27,null,null,null,null,null,51.5
55,2593,Aaron Rodgers,GB,13,38,QB,QB5,null,null,null,null,null,52.3
56,18944,Kareem Hunt,CLE,13,26,RB,RB28,null,null,null,null,null,53.3
57,18882,Cooper Kupp,LAR,11,28,WR,WR19,null,null,null,null,null,54
58,18055,Dak Prescott,DAL,7,28,QB,QB6,null,null,null,null,null,54.8
59,16830,Tyler Lockett,SEA,9,29,WR,WR20,null,null,null,null,null,55.7
59,20805,T.J. Hockenson,DET,9,24,TE,TE6,null,null,null,null,null,55.7
61,21747,Brandon Aiyuk,SF,6,24,WR,WR21,null,null,null,null,null,57.7
62,21077,Diontae Johnson,PIT,7,25,WR,WR22,null,null,null,null,null,59.5
63,21681,Justin Herbert,LAC,7,24,QB,QB7,null,null,null,null,null,61.3
64,14536,Russell Wilson,SEA,11,33,QB,QB8,null,null,null,null,null,63.4
65,19919,Chase Edmonds,ARI,14,26,RB,RB29,null,null,null,null,null,64
66,19844,DJ Moore,CAR,13,25,WR,WR23,null,null,null,null,null,65
67,21801,Trey Sermon,SF,6,23,RB,RB30,null,null,null,null,null,65.7
68,21752,Chase Claypool,PIT,7,23,WR,WR24,null,null,null,null,null,66.1
69,16389,Odell Beckham Jr.,CLE,null,29,WR,WR25,68.6,68.6,68.6,68.6,68.6,68.6
70,16656,Logan Thomas,WAS,9,30,TE,TE7,null,null,null,null,null,68.7
71,21692,Jerry Jeudy,DEN,11,23,WR,WR26,null,null,null,null,null,69
72,17960,Michael Thomas,NO,6,29,WR,WR27,null,null,null,null,null,69.1
73,21690,Tee Higgins,CIN,10,23,WR,WR28,null,null,null,null,null,70
74,4314,Tom Brady,TB,9,44,QB,QB9,null,null,null,null,null,71.8
75,16776,Melvin Gordon III,DEN,11,29,RB,RB31,null,null,null,null,null,73
76,19861,Ronald Jones II,TB,12,24,RB,RB32,null,null,null,null,null,74.6
77,21802,AJ Dillon,GB,13,24,RB,RB33,null,null,null,null,null,75.2
78,22564,Ja'Marr Chase,CIN,10,22,WR,WR29,null,null,null,null,null,76.7
79,19491,Robert Tonyan,GB,13,28,TE,TE8,null,null,null,null,null,77.1
80,21784,Zack Moss,BUF,7,24,RB,RB34,null,null,null,null,null,77.3
81,11056,Antonio Brown,TB,null,33,WR,WR30,78.1,78.1,78.1,78.1,78.1,78.1
82,21687,DeVonta Smith,PHI,14,23,WR,WR31,null,null,null,null,null,80.8
83,10974,Rob Gronkowski,TB,null,32,TE,TE9,81,81,81,81,81,81
84,22553,Michael Carter,NYJ,6,22,RB,RB35,null,null,null,null,null,81.1
85,9038,Matthew Stafford,LAR,11,34,QB,QB10,null,null,null,null,null,82.5
86,19800,Courtland Sutton,DEN,11,26,WR,WR32,null,null,null,null,null,84.2
87,18977,Kenny Golladay,NYG,10,28,WR,WR33,null,null,null,null,null,84.6
88,18803,Leonard Fournette,TB,9,27,RB,RB36,null,null,null,null,null,84.9
89,18187,Robby Anderson,CAR,13,28,WR,WR34,null,null,null,null,null,86.6
90,18883,JuJu Smith-Schuster,PIT,12,25,WR,WR35,null,null,null,null,null,86.7
91,20941,Devin Singletary,BUF,7,24,RB,RB37,null,null,null,null,null,87
92,13799,Ryan Tannehill,TEN,13,33,QB,QB11,null,null,null,null,null,88.3
93,18983,James Conner,ARI,12,26,RB,RB38,null,null,null,null,null,89.1
94,19828,Sony Michel,LAR,null,27,RB,RB39,90.4,90.4,90.4,90.4,90.4,90.4
95,20932,Deebo Samuel,SF,6,26,WR,WR36,null,null,null,null,null,90.9
96,21744,Michael Pittman Jr.,IND,14,24,WR,WR37,null,null,null,null,null,92
97,20753,Noah Fant,DEN,9,24,TE,TE10,null,null,null,null,null,92.6
98,21697,Laviska Shenault Jr.,JAX,7,23,WR,WR38,null,null,null,null,null,92.9
99,21831,Jalen Hurts,PHI,14,23,QB,QB12,null,null,null,null,null,95
100,18995,Jamaal Williams,DET,9,27,RB,RB40,null,null,null,null,null,95.1
101,20788,Mecole Hardman,KC,12,24,WR,WR39,null,null,null,null,null,96.2
102,21750,Marquez Callaway,NO,6,24,WR,WR40,null,null,null,null,null,97.9
103,19863,Dallas Goedert,PHI,14,27,TE,TE11,null,null,null,null,null,100.4
104,17986,Tyler Boyd,CIN,10,27,WR,WR41,null,null,null,null,null,102
105,20912,Tony Pollard,DAL,7,25,RB,RB41,null,null,null,null,null,102.9
106,16847,David Johnson,HOU,null,30,RB,RB42,103.8,103.8,103.8,103.8,103.8,103.8
107,28,Pittsburgh Steelers,PIT,7,null,DST,DST1,null,null,null,null,null,103.9
108,18003,Kenyan Drake,LV,8,28,RB,RB43,null,null,null,null,null,104.5
109,32,Los Angeles Rams,LAR,11,null,DST,DST2,null,null,null,null,null,105.3
110,19816,DJ Chark Jr.,JAX,9,25,WR,WR42,null,null,null,null,null,105.9
110,18879,Corey Davis,NYJ,6,27,WR,WR43,null,null,null,null,null,105.9
112,18914,Mike Williams,LAC,7,27,WR,WR44,null,null,null,null,null,108.3
113,21693,Joe Burrow,CIN,10,25,QB,QB13,null,null,null,null,null,108.8
114,20128,Phillip Lindsay,HOU,null,27,RB,RB44,110.2,110.2,110.2,110.2,110.2,110.2
115,20868,Alexander Mattison,MIN,7,23,RB,RB45,null,null,null,null,null,110.5
116,18032,Tyler Higbee,LAR,11,29,TE,TE12,null,null,null,null,null,111.2
117,22598,Jaylen Waddle,MIA,14,23,WR,WR45,null,null,null,null,null,111.5
118,16568,Brandin Cooks,HOU,10,28,WR,WR46,null,null,null,null,null,114
119,95,Tampa Bay Buccaneers,TB,9,null,DST,DST3,null,null,null,null,null,115.3
120,22546,Rhamondre Stevenson,NE,14,24,RB,RB46,null,null,null,null,null,116
121,97,Washington Commanders,WAS,9,null,DST,DST4,null,null,null,null,null,116.9
122,16020,Jarvis Landry,CLE,null,29,WR,WR47,118.3,118.3,118.3,118.3,118.3,118.3
123,21961,Darnell Mooney,CHI,10,24,WR,WR48,null,null,null,null,null,118.8
124,22493,Trey Lance,SF,6,21,QB,QB14,null,null,null,null,null,119.5
125,19853,Mike Gesicki,MIA,14,26,TE,TE13,null,null,null,null,null,121.2
126,732,Matt Ryan,ATL,14,36,QB,QB15,null,null,null,null,null,121.6
127,21691,Chuba Hubbard,CAR,13,22,RB,RB47,null,null,null,null,null,122.4
128,22492,Justin Fields,CHI,10,23,QB,QB16,null,null,null,null,null,124.4
128,16834,Tevin Coleman,NYJ,6,29,RB,RB48,null,null,null,null,null,124.4
130,22490,Trevor Lawrence,JAX,7,22,QB,QB17,null,null,null,null,null,124.7
131,36,Baltimore Ravens,BAL,8,null,DST,DST5,null,null,null,null,null,125.4
132,17916,William Fuller V,MIA,null,28,WR,WR49,125.7,125.7,125.7,125.7,125.7,125.7
133,15071,Latavius Murray,NO,null,32,RB,RB49,126.5,126.5,126.5,126.5,126.5,126.5
134,93,San Francisco 49ers,SF,6,null,DST,DST6,null,null,null,null,null,127.5
135,19073,Harrison Butker,KC,12,26,K,K1,null,null,null,null,null,129
136,21045,Marquise Brown,BAL,12,24,WR,WR50,null,null,null,null,null,129.6
137,20876,Jakobi Meyers,NE,14,25,WR,WR51,null,null,null,null,null,131.5
138,19790,Baker Mayfield,CLE,13,27,QB,QB18,null,null,null,null,null,131.6
139,19912,Nyheim Hines,IND,14,25,RB,RB50,null,null,null,null,null,132.4
140,21694,Henry Ruggs III,LV,null,23,WR,WR52,132.7,132.7,132.7,132.7,132.7,132.7
141,18464,J.D. McKissic,WAS,9,28,RB,RB51,null,null,null,null,null,132.8
142,18990,Jonnu Smith,NE,14,26,TE,TE14,null,null,null,null,null,133.4
142,19799,Rashaad Penny,SEA,9,26,RB,RB52,null,null,null,null,null,133.4
144,75,New York Giants,NYG,10,null,DST,DST7,null,null,null,null,null,133.5
145,14688,Justin Tucker,BAL,8,32,K,K2,null,null,null,null,null,134.7
145,19867,Michael Gallup,DAL,7,26,WR,WR53,null,null,null,null,null,134.7
147,37,Buffalo Bills,BUF,7,null,DST,DST8,null,null,null,null,null,136.3
148,16762,Jameis Winston,NO,6,28,QB,QB19,null,null,null,null,null,137.1
149,13870,Marvin Jones Jr.,JAX,7,32,WR,WR54,null,null,null,null,null,138
150,22592,Elijah Moore,NYJ,6,22,WR,WR55,null,null,null,null,null,138.2
151,21,New England Patriots,NE,14,null,DST,DST9,null,null,null,null,null,139
152,21736,Bryan Edwards,LV,8,23,WR,WR56,null,null,null,null,null,139.5
152,48,Dallas Cowboys,DAL,7,null,DST,DST10,null,null,null,null,null,139.5
154,19565,Younghoe Koo,ATL,6,27,K,K3,null,null,null,null,null,140.7
155,3807,Ben Roethlisberger,PIT,null,40,QB,QB20,142.7,142.7,142.7,142.7,142.7,142.7
156,22108,Tyler Bass,BUF,7,25,K,K4,null,null,null,null,null,143.8
157,8750,Ryan Succop,TB,9,35,K,K5,null,null,null,null,null,144.4
157,14,Indianapolis Colts,IND,14,null,DST,DST11,null,null,null,null,null,144.4
159,14916,Giovani Bernard,TB,9,30,RB,RB53,null,null,null,null,null,144.7
160,22112,Rodrigo Blankenship,IND,14,25,K,K6,null,null,null,null,null,145.1
161,20500,Darrel Williams,KC,null,27,RB,RB54,145.3,145.3,145.3,145.3,145.3,145.3
162,14697,Greg Zuerlein,DAL,6,34,K,K7,null,null,null,null,null,146.5
163,18928,Curtis Samuel,WAS,9,25,WR,WR57,null,null,null,null,null,147.7
164,22562,Kenneth Gainwell,PHI,14,23,RB,RB55,null,null,null,null,null,147.8
165,20033,Jason Sanders,MIA,14,26,K,K8,null,null,null,null,null,148.1
166,55,Kansas City Chiefs,KC,12,null,DST,DST12,null,null,null,null,null,149.8
167,17975,Hunter Henry,NE,14,27,TE,TE15,null,null,null,null,null,150.2
168,1694,Mason Crosby,GB,13,37,K,K9,null,null,null,null,null,150.3
169,18996,Wayne Gallman,ATL,null,27,RB,RB56,150.4,150.4,150.4,150.4,150.4,150.4
170,21774,Tony Jones Jr.,NO,6,24,RB,RB57,null,null,null,null,null,150.6
171,8534,Jared Cook,LAC,null,35,TE,TE16,151,151,151,151,151,151
172,17053,Malcolm Brown,MIA,null,28,RB,RB58,151.1,151.1,151.1,151.1,151.1,151.1
173,18912,Evan Engram,NYG,7,27,TE,TE17,null,null,null,null,null,151.9
174,14252,Kirk Cousins,MIN,7,33,QB,QB21,null,null,null,null,null,152
175,14141,Cole Beasley,BUF,null,33,WR,WR58,152.6,152.6,152.6,152.6,152.6,152.6
176,18935,Gerald Everett,SEA,7,27,TE,TE18,null,null,null,null,null,153.3
177,17970,Devontae Booker,NYG,null,29,RB,RB59,153.6,153.6,153.6,153.6,153.6,153.6
178,49,Denver Broncos,DEN,11,null,DST,DST13,null,null,null,null,null,154.2
179,12845,A.J. Green,ARI,12,33,WR,WR59,null,null,null,null,null,154.6
180,21677,Tua Tagovailoa,MIA,14,24,QB,QB22,null,null,null,null,null,154.8
181,16775,DeVante Parker,MIA,14,29,WR,WR60,null,null,null,null,null,155
182,549,Matt Prater,ARI,12,37,K,K10,null,null,null,null,null,155.1
182,21735,Gabriel Davis,BUF,7,23,WR,WR61,null,null,null,null,null,155.1
184,13337,Mark Ingram II,HOU,6,32,RB,RB60,null,null,null,null,null,155.2
185,69,New Orleans Saints,NO,6,null,DST,DST14,null,null,null,null,null,155.5
186,22507,Pat Freiermuth,PIT,7,23,TE,TE19,null,null,null,null,null,155.8
187,13227,Randall Cobb,GB,13,31,WR,WR62,null,null,null,null,null,156.1
188,90,Seattle Seahawks,SEA,9,null,DST,DST15,null,null,null,null,null,156.2
189,18857,Deshaun Watson,HOU,13,26,QB,QB23,null,null,null,null,null,156.3
189,1,Arizona Cardinals,ARI,12,null,DST,DST16,null,null,null,null,null,156.3
191,20006,Russell Gage,ATL,9,26,WR,WR63,null,null,null,null,null,156.4
192,38,Chicago Bears,CHI,10,null,DST,DST17,null,null,null,null,null,156.7
193,19976,Marquez Valdes-Scantling,GB,12,27,WR,WR64,null,null,null,null,null,156.8
194,8283,Ryan Fitzpatrick,WAS,null,39,QB,QB24,157.1,157.1,157.1,157.1,157.1,157.1
194,22626,Rondale Moore,ARI,12,21,WR,WR65,null,null,null,null,null,157.1
196,22496,Mac Jones,NE,14,23,QB,QB25,null,null,null,null,null,157.4
197,8,Cleveland Browns,CLE,13,null,DST,DST18,null,null,null,null,null,157.9
198,20769,Matt Gay,LAR,11,28,K,K11,null,null,null,null,null,159.2
199,14996,Brandon McManus,DEN,11,30,K,K12,null,null,null,null,null,159.7
200,22495,Zach Wilson,NYJ,6,22,QB,QB26,null,null,null,null,null,160.1
201,20064,Justin Jackson,LAC,null,26,RB,RB61,160.5,160.5,160.5,160.5,160.5,160.5
201,18998,Marlon Mack,IND,10,26,RB,RB62,null,null,null,null,null,160.5
203,21837,J.J. Taylor,NE,14,24,RB,RB63,null,null,null,null,null,161.3
204,17215,Jason Myers,SEA,9,30,K,K13,null,null,null,null,null,161.6
205,22587,Amon-Ra St. Brown,DET,9,22,WR,WR66,null,null,null,null,null,162.3
206,16056,James White,NE,14,30,RB,RB64,null,null,null,null,null,163.1
207,22685,Terrace Marshall Jr.,CAR,13,21,WR,WR67,null,null,null,null,null,163.4
207,64,Miami Dolphins,MIA,14,null,DST,DST19,null,null,null,null,null,163.4
209,5,Carolina Panthers,CAR,13,null,DST,DST20,null,null,null,null,null,164.1
210,19989,Daniel Carlson,LV,8,27,K,K14,null,null,null,null,null,165.6
211,1410,Robbie Gould,SF,6,39,K,K15,null,null,null,null,null,166
212,84,Los Angeles Chargers,LAC,7,null,DST,DST21,null,null,null,null,null,167.2
213,12,Green Bay Packers,GB,13,null,DST,DST22,null,null,null,null,null,168
214,17920,Carson Wentz,IND,9,29,QB,QB27,null,null,null,null,null,169.5
215,16781,Nelson Agholor,NE,14,28,WR,WR68,null,null,null,null,null,171
216,17048,Tyrell Williams,DET,null,30,WR,WR69,172,172,172,172,172,172
217,67,Minnesota Vikings,MIN,7,null,DST,DST23,null,null,null,null,null,172.3
218,19897,Tre'Quan Smith,NO,6,26,WR,WR70,null,null,null,null,null,173
219,11063,Emmanuel Sanders,BUF,null,35,WR,WR71,174,174,174,174,174,174
220,21686,Jalen Reagor,PHI,14,23,WR,WR72,null,null,null,null,null,175
221,17961,Sterling Shepard,NYG,10,29,WR,WR73,null,null,null,null,null,176
222,21005,Parris Campbell,IND,null,24,WR,WR74,177,177,177,177,177,177
223,21756,Nico Collins,HOU,10,23,WR,WR75,null,null,null,null,null,178
224,26,Philadelphia Eagles,PHI,14,null,DST,DST24,null,null,null,null,null,179
224,16866,Jamison Crowder,NYJ,7,28,WR,WR76,null,null,null,null,null,179
226,20943,Darius Slayton,NYG,10,25,WR,WR77,null,null,null,null,null,180
227,16311,Derek Carr,LV,8,31,QB,QB28,null,null,null,null,null,181
227,82,New York Jets,NYJ,6,null,DST,DST25,null,null,null,null,null,181
229,52,Jacksonville Jaguars,JAX,7,null,DST,DST26,null,null,null,null,null,182
229,22126,Ty'Son Williams,BAL,8,25,RB,RB65,null,null,null,null,null,182
231,34,Tennessee Titans,TEN,13,null,DST,DST27,null,null,null,null,null,183
231,21739,Van Jefferson,LAR,11,25,WR,WR78,null,null,null,null,null,183
233,20841,Daniel Jones,NYG,10,24,QB,QB29,null,null,null,null,null,184
234,16003,Sammy Watkins,BAL,13,28,WR,WR79,null,null,null,null,null,185
235,11,Detroit Lions,DET,9,null,DST,DST28,null,null,null,null,null,186
235,21729,Quintez Cephus,DET,9,24,WR,WR80,null,null,null,null,null,186
237,19812,Sam Darnold,CAR,13,24,QB,QB30,null,null,null,null,null,187
237,13,Houston Texans,HOU,10,null,DST,DST29,null,null,null,null,null,187
239,7,Cincinnati Bengals,CIN,10,null,DST,DST30,null,null,null,null,null,188
239,3943,DeSean Jackson,LAR,null,35,WR,WR81,188,188,188,188,188,188
241,83,Las Vegas Raiders,LV,8,null,DST,DST31,null,null,null,null,null,189
241,19172,Zach Pascal,IND,14,27,WR,WR82,null,null,null,null,null,189
243,19815,Christian Kirk,ARI,7,25,WR,WR83,null,null,null,null,null,190
244,2,Atlanta Falcons,ATL,6,null,DST,DST32,null,null,null,null,null,191
244,21754,Donovan Peoples-Jones,CLE,13,23,WR,WR84,null,null,null,null,null,191
246,20924,Hunter Renfrow,LV,8,26,WR,WR85,null,null,null,null,null,192
247,17922,Jared Goff,DET,9,27,QB,QB31,null,null,null,null,null,193
248,22613,Joshua Palmer,LAC,7,22,WR,WR86,null,null,null,null,null,194
249,19514,Keelan Cole,NYJ,null,29,WR,WR87,195,195,195,195,195,195
250,22569,Dee Eskridge,SEA,9,25,WR,WR88,null,null,null,null,null,196
251,21448,Jalen Guyton,LAC,7,24,WR,WR89,null,null,null,null,null,197
252,18047,Demarcus Robinson,KC,8,27,WR,WR90,null,null,null,null,null,198
253,21759,KJ Hamler,DEN,11,22,WR,WR91,null,null,null,null,null,199
254,20150,Byron Pringle,KC,10,28,WR,WR92,null,null,null,null,null,200
255,16497,Teddy Bridgewater,DEN,14,29,QB,QB32,null,null,null,null,null,201
256,16668,Carlos Hyde,JAX,null,31,RB,RB66,202,202,202,202,202,202
257,21957,Quez Watkins,PHI,14,23,WR,WR93,null,null,null,null,null,203
258,16837,Chris Conley,HOU,10,29,WR,WR94,null,null,null,null,null,204
259,16031,Damien Williams,CHI,6,30,RB,RB67,null,null,null,null,null,205
260,19318,Kendrick Bourne,NE,14,26,WR,WR95,null,null,null,null,null,206
261,21741,Denzel Mims,NYJ,6,24,WR,WR96,null,null,null,null,null,207
262,19865,James Washington,PIT,7,26,WR,WR97,null,null,null,null,null,208
263,19864,Anthony Miller,HOU,null,27,WR,WR98,209,209,209,209,209,209
264,19017,Josh Reynolds,TEN,null,27,WR,WR99,210,210,210,210,210,210
265,20145,Allen Lazard,GB,13,26,WR,WR100,null,null,null,null,null,211
266,18089,Rashard Higgins,CLE,13,27,WR,WR101,null,null,null,null,null,212
267,18422,Kalif Raymond,DET,9,27,WR,WR102,null,null,null,null,null,213
268,22614,Kadarius Toney,NYG,10,23,WR,WR103,null,null,null,null,null,214
269,21843,Salvon Ahmed,MIA,14,23,RB,RB68,null,null,null,null,null,215
270,21163,Deonte Harris,NO,6,24,WR,WR104,null,null,null,null,null,216
271,20837,Ty Johnson,NYJ,6,24,RB,RB69,null,null,null,null,null,217
272,21142,Olamide Zaccheaus,ATL,6,24,WR,WR105,null,null,null,null,null,218
273,22686,Dyami Brown,WAS,9,22,WR,WR106,null,null,null,null,null,219
274,16787,Breshad Perriman,CHI,9,28,WR,WR107,null,null,null,null,null,220
275,15150,Cordarrelle Patterson,ATL,6,31,RB,RB70,null,null,null,null,null,221
276,19207,Tim Patrick,DEN,11,28,WR,WR108,null,null,null,null,null,222
277,20838,Tyron Johnson,JAX,8,26,WR,WR109,null,null,null,null,null,223
278,20039,Boston Scott,PHI,14,27,RB,RB71,null,null,null,null,null,224
279,12831,Tyrod Taylor,HOU,10,32,QB,QB33,null,null,null,null,null,225
280,20057,Auden Tate,CIN,6,25,WR,WR110,null,null,null,null,null,226
281,17141,Damiere Byrd,CHI,6,29,WR,WR111,null,null,null,null,null,227
282,17290,Adam Humphries,WAS,null,28,WR,WR112,228,228,228,228,228,228
283,18993,Samaje Perine,CIN,10,26,RB,RB72,null,null,null,null,null,229
284,21776,Joshua Kelley,LAC,7,24,RB,RB73,null,null,null,null,null,230
285,20360,Jeff Wilson Jr.,SF,6,26,RB,RB74,null,null,null,null,null,231
286,22602,Tutu Atwell,LAR,11,22,WR,WR113,null,null,null,null,null,232
287,16510,Jerick McKinnon,KC,null,30,RB,RB75,233,233,233,233,233,233
288,14865,Marquise Goodwin,CHI,null,31,WR,WR114,234,234,234,234,234,234
289,19003,Tarik Cohen,CHI,null,26,RB,RB76,235,235,235,235,235,235
290,21138,Scotty Miller,TB,9,24,WR,WR115,null,null,null,null,null,236
291,22575,Amari Rodgers,GB,13,22,WR,WR116,null,null,null,null,null,237
292,20762,Travis Fulgham,PHI,11,26,WR,WR117,null,null,null,null,null,238
293,20988,Preston Williams,MIA,14,25,WR,WR118,null,null,null,null,null,239
294,19937,Keke Coutee,IND,14,25,WR,WR119,null,null,null,null,null,240
295,22556,Jaret Patterson,WAS,9,22,RB,RB77,null,null,null,null,null,241
296,21777,Larry Rountree III,LAC,7,24,RB,RB78,null,null,null,null,null,242
297,16308,Albert Wilson,MIA,null,29,WR,WR120,243,243,243,243,243,243
298,20529,Cam Sims,WAS,9,26,WR,WR121,null,null,null,null,null,244
299,19043,Isaiah McKenzie,BUF,7,27,WR,WR122,null,null,null,null,null,245
300,13878,Mohamed Sanu Sr.,SF,null,32,WR,WR123,246,246,246,246,246,246
301,14901,Kyle Juszczyk,SF,6,31,FB,RB79,null,null,null,null,null,247
302,22678,Jake Funk,LAR,11,24,RB,RB80,null,null,null,null,null,248
303,9906,Danny Amendola,HOU,null,36,WR,WR124,249,249,249,249,249,249
304,20950,Benny Snell Jr.,PIT,7,24,RB,RB81,null,null,null,null,null,250
305,19705,Greg Ward,PHI,14,26,WR,WR125,null,null,null,null,null,251
306,21730,Collin Johnson,NYG,10,24,WR,WR126,null,null,null,null,null,252
307,21967,Isaiah Coulter,CHI,10,23,WR,WR127,null,null,null,null,null,253
308,21960,Freddie Swain,SEA,9,23,WR,WR128,null,null,null,null,null,254
309,19319,Matt Breida,BUF,10,27,RB,RB82,null,null,null,null,null,255
310,21804,DeeJay Dallas,SEA,9,23,RB,RB83,null,null,null,null,null,256
311,22588,Anthony Schwartz,CLE,13,21,WR,WR129,null,null,null,null,null,257
312,22555,Jermar Jefferson,DET,9,22,RB,RB84,null,null,null,null,null,258
313,22591,Dez Fitzpatrick,TEN,13,24,WR,WR130,null,null,null,null,null,259
314,16141,Willie Snead IV,LV,null,29,WR,WR131,null,null,null,null,null,260
315,16790,Phillip Dorsett II,JAX,10,29,WR,WR132,null,null,null,null,null,261
316,22535,Elijah Mitchell,SF,6,24,RB,RB85,null,null,null,null,null,262
317,19823,Royce Freeman,CAR,10,26,RB,RB86,null,null,null,null,null,263
318,22609,Shi Smith,CAR,13,23,WR,WR133,null,null,null,null,null,264
319,20990,Trayveon Williams,CIN,10,24,RB,RB87,null,null,null,null,null,265
320,14917,Rex Burkhead,HOU,10,31,RB,RB88,null,null,null,null,null,266
321,18926,Zay Jones,LV,7,27,WR,WR134,null,null,null,null,null,267
322,20013,Cedrick Wilson Jr.,DAL,14,26,WR,WR135,null,null,null,null,null,268
323,19120,David Moore,LV,10,27,WR,WR136,null,null,null,null,null,269
324,21675,Tyler Johnson,TB,9,23,WR,WR137,null,null,null,null,null,270
325,19044,Jamal Agnew,JAX,7,27,WR,WR138,null,null,null,null,null,271
326,18992,Dede Westbrook,MIN,null,28,WR,WR139,272,272,272,272,272,272
327,21840,Kylin Hill,GB,13,23,RB,RB89,null,null,null,null,null,273
328,19238,Taysom Hill,NO,6,31,QB,QB34,null,null,null,null,null,274
