Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,18877,Christian McCaffrey,CAR,13,25,RB,RB1,null,null,null,null,null,1.3
2,18872,Dalvin Cook,MIN,7,26,RB,RB2,null,null,null,null,null,2.6
3,17959,Derrick Henry,TEN,13,28,RB,RB3,null,null,null,null,null,3.2
4,18878,Alvin Kamara,NO,6,26,RB,RB4,null,null,null,null,null,4.1
5,17923,Ezekiel Elliott,DAL,7,26,RB,RB5,null,null,null,null,null,5.5
6,19798,Nick Chubb,CLE,13,26,RB,RB6,null,null,null,null,null,6.1
7,19045,Aaron Jones,GB,13,27,RB,RB7,null,null,null,null,null,7.3
8,16470,Davante Adams,GB,8,29,WR,WR1,null,null,null,null,null,7.6
9,21682,Jonathan Taylor,IND,14,23,RB,RB8,null,null,null,null,null,8.4
10,15048,Travis Kelce,KC,12,32,TE,TE1,null,null,null,null,null,9.5
11,19766,Saquon Barkley,NYG,10,25,RB,RB9,null,null,null,null,null,10.9
12,18082,Tyreek Hill,KC,14,28,WR,WR2,null,null,null,null,null,11.3
13,21768,Najee Harris,PIT,7,24,RB,RB10,null,null,null,null,null,12.4
14,19562,Austin Ekeler,LAC,7,26,RB,RB11,null,null,null,null,null,13.1
15,21861,Antonio Gibson,WAS,9,23,RB,RB12,null,null,null,null,null,13.3
16,18890,Patrick Mahomes,KC,12,26,QB,QB1,null,null,null,null,null,14.7
17,16906,Stefon Diggs,BUF,7,28,WR,WR3,null,null,null,null,null,15.8
18,18858,Joe Mixon,CIN,10,25,RB,RB13,null,null,null,null,null,17.1
19,20875,DK Metcalf,SEA,9,24,WR,WR4,null,null,null,null,null,17.7
20,21769,Clyde Edwards-Helaire,KC,12,23,RB,RB14,null,null,null,null,null,18.7
21,19802,Calvin Ridley,ATL,6,27,WR,WR5,null,null,null,null,null,20.3
22,14986,DeAndre Hopkins,ARI,12,29,WR,WR6,null,null,null,null,null,21.3
23,16964,Darren Waller,LV,8,29,TE,TE2,null,null,null,null,null,22.1
24,21685,Justin Jefferson,MIN,7,23,WR,WR7,null,null,null,null,null,23.1
25,20882,David Montgomery,CHI,10,24,RB,RB15,null,null,null,null,null,23.7
26,21042,A.J. Brown,TEN,14,24,WR,WR8,null,null,null,null,null,25
27,20824,Josh Jacobs,LV,8,24,RB,RB16,null,null,null,null,null,25.8
28,19801,Josh Allen,BUF,7,25,QB,QB2,null,null,null,null,null,26.6
29,19119,Chris Carson,SEA,9,27,RB,RB17,null,null,null,null,null,28.4
30,21970,James Robinson,JAX,7,23,RB,RB18,null,null,null,null,null,28.6
31,19063,George Kittle,SF,6,28,TE,TE3,null,null,null,null,null,30.2
32,15076,Keenan Allen,LAC,7,30,WR,WR9,null,null,null,null,null,30.7
33,21679,CeeDee Lamb,DAL,7,23,WR,WR10,null,null,null,null,null,31.2
34,20873,Terry McLaurin,WAS,9,26,WR,WR11,null,null,null,null,null,31.9
35,20933,Miles Sanders,PHI,14,25,RB,RB19,null,null,null,null,null,34.1
36,16597,Mike Evans,TB,9,28,WR,WR12,null,null,null,null,null,35.9
37,20889,Kyler Murray,ARI,12,24,QB,QB3,null,null,null,null,null,36.2
38,21684,D'Andre Swift,DET,9,23,RB,RB20,null,null,null,null,null,36.4
39,16263,Allen Robinson II,CHI,11,28,WR,WR13,null,null,null,null,null,36.8
40,20798,Darrell Henderson Jr.,LAR,11,24,RB,RB21,null,null,null,null,null,37.3
41,22508,Kyle Pitts,ATL,6,21,TE,TE4,null,null,null,null,null,40.2
