Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,16771,Todd Gurley II,LAR,null,27,RB,RB1,null,null,null,null,null,1.4
2,14967,Le'Veon Bell,PIT,null,30,RB,RB2,476,476,476,476,476,2.6
3,16847,David Johnson,ARI,null,30,RB,RB3,103.8,103.8,103.8,103.8,103.8,3.5
4,17923,Ezekiel Elliott,DAL,7,26,RB,RB4,null,null,null,null,null,3.7
5,19766,Saquon Barkley,NYG,10,25,RB,RB5,null,null,null,null,null,6
6,11056,Antonio Brown,PIT,null,33,WR,WR1,78.1,78.1,78.1,78.1,78.1,6.5
7,18878,Alvin Kamara,NO,6,26,RB,RB6,null,null,null,null,null,6.6
8,18803,Leonard Fournette,JAX,9,27,RB,RB7,null,null,null,null,null,7.8
9,16776,Melvin Gordon III,LAC,11,29,RB,RB8,null,null,null,null,null,8.9
10,18944,Kareem Hunt,KC,13,26,RB,RB9,null,null,null,null,null,10.1
11,14986,DeAndre Hopkins,HOU,12,29,WR,WR2,null,null,null,null,null,11
12,16389,Odell Beckham Jr.,NYG,null,29,WR,WR3,68.6,68.6,68.6,68.6,68.6,12.4
13,18872,Dalvin Cook,MIN,7,26,RB,RB10,null,null,null,null,null,13.3
14,18877,Christian McCaffrey,CAR,13,25,RB,RB11,null,null,null,null,null,13.8
15,13291,Julio Jones,ATL,null,33,WR,WR4,43.1,43.1,43.1,43.1,43.1,15.1
16,18067,Jordan Howard,CHI,null,27,RB,RB12,306,306,306,306,306,15.9
17,16524,Devonta Freeman,ATL,null,30,RB,RB13,777,777,777,777,777,17.3
18,17960,Michael Thomas,NO,6,29,WR,WR5,null,null,null,null,null,17.7
19,16470,Davante Adams,GB,8,29,WR,WR6,null,null,null,null,null,18.9
20,15076,Keenan Allen,LAC,7,30,WR,WR7,null,null,null,null,null,20.4
21,18858,Joe Mixon,CIN,10,25,RB,RB14,null,null,null,null,null,21
21,10974,Rob Gronkowski,NE,null,32,TE,TE1,81,81,81,81,81,21
23,12845,A.J. Green,CIN,12,33,WR,WR8,null,null,null,null,null,22.8
24,18088,Alex Collins,BAL,null,27,RB,RB15,282,282,282,282,282,24.6
25,17959,Derrick Henry,TEN,13,28,RB,RB16,null,null,null,null,null,24.7
26,18082,Tyreek Hill,KC,14,28,WR,WR9,null,null,null,null,null,26.6
27,16597,Mike Evans,TB,9,28,WR,WR10,null,null,null,null,null,27.2
28,11932,LeSean McCoy,BUF,null,33,RB,RB17,null,null,null,null,null,28.5
29,16906,Stefon Diggs,MIN,7,28,WR,WR11,null,null,null,null,null,28.6
30,19823,Royce Freeman,DEN,10,26,RB,RB18,null,null,null,null,null,29.3
31,2593,Aaron Rodgers,GB,13,38,QB,QB1,null,null,null,null,null,29.9
32,14005,T.Y. Hilton,IND,null,32,WR,WR12,null,null,null,null,null,30.3
33,15048,Travis Kelce,KC,12,32,TE,TE2,null,null,null,null,null,32.9
34,18003,Kenyan Drake,MIA,8,28,RB,RB19,null,null,null,null,null,34.1
35,13791,Lamar Miller,HOU,null,31,RB,RB20,647,647,647,647,647,34.4
36,16765,Amari Cooper,LV,13,27,WR,WR13,null,null,null,null,null,35.8
37,13460,Doug Baldwin,SEA,null,33,WR,WR14,null,null,null,null,null,36.5
38,15534,Adam Thielen,MIN,7,31,WR,WR15,null,null,null,null,null,38
39,16909,Jay Ajayi,PHI,null,28,RB,RB21,null,null,null,null,null,39.4
40,18883,JuJu Smith-Schuster,PIT,12,25,WR,WR16,null,null,null,null,null,40.4
41,18857,Deshaun Watson,HOU,13,26,QB,QB2,null,null,null,null,null,41.5
42,12386,Marshawn Lynch,LV,null,36,RB,RB22,null,null,null,null,null,42.5
43,5571,Larry Fitzgerald,ARI,null,38,WR,WR17,null,null,null,null,null,42.7
44,14587,Josh Gordon,CLE,12,31,WR,WR18,null,null,null,null,null,43.3
45,14856,Zach Ertz,PHI,12,31,TE,TE3,null,null,null,null,null,44
46,13337,Mark Ingram II,NO,6,32,RB,RB23,null,null,null,null,null,44.3
47,14828,Chris Hogan,NE,null,34,WR,WR19,503,503,503,503,503,45.7
48,16668,Carlos Hyde,JAX,null,31,RB,RB24,202,202,202,202,202,47.8
