Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,19766,Saquon Barkley,NYG,10,25,RB,RB1,null,null,null,null,null,1.9
2,18878,Alvin Kamara,NO,6,26,RB,RB2,null,null,null,null,null,2.4
3,18877,Christian McCaffrey,CAR,13,25,RB,RB3,null,null,null,null,null,3.6
4,17923,Ezekiel Elliott,DAL,7,26,RB,RB4,null,null,null,null,null,3.8
5,18983,James Conner,PIT,12,26,RB,RB5,null,null,null,null,null,6.1
5,14986,DeAndre Hopkins,HOU,12,29,WR,WR1,null,null,null,null,null,6.1
7,14967,Le'Veon Bell,NYJ,null,30,RB,RB6,476,476,476,476,476,7.2
7,19798,Nick Chubb,CLE,13,26,RB,RB7,null,null,null,null,null,7.2
9,16470,Davante Adams,GB,8,29,WR,WR2,null,null,null,null,null,9.2
10,18872,Dalvin Cook,MIN,7,26,RB,RB8,null,null,null,null,null,10.6
11,13291,Julio Jones,ATL,null,33,WR,WR3,43.1,43.1,43.1,43.1,43.1,10.9
12,16771,Todd Gurley II,LAR,null,27,RB,RB9,null,null,null,null,null,11.4
13,18082,Tyreek Hill,KC,14,28,WR,WR4,null,null,null,null,null,12.9
13,17960,Michael Thomas,NO,6,29,WR,WR5,null,null,null,null,null,12.9
15,16847,David Johnson,ARI,null,30,RB,RB10,103.8,103.8,103.8,103.8,103.8,14.2
16,16389,Odell Beckham Jr.,CLE,null,29,WR,WR6,68.6,68.6,68.6,68.6,68.6,14.9
17,18883,JuJu Smith-Schuster,PIT,12,25,WR,WR7,null,null,null,null,null,15.9
18,18890,Patrick Mahomes,KC,12,26,QB,QB1,null,null,null,null,null,16.4
18,18858,Joe Mixon,CIN,10,25,RB,RB11,null,null,null,null,null,16.4
20,15048,Travis Kelce,KC,12,32,TE,TE1,null,null,null,null,null,17.8
21,18803,Leonard Fournette,JAX,9,27,RB,RB12,null,null,null,null,null,20.3
22,16597,Mike Evans,TB,9,28,WR,WR8,null,null,null,null,null,21.5
23,19119,Chris Carson,SEA,9,27,RB,RB13,null,null,null,null,null,22.9
24,11056,Antonio Brown,LV,null,33,WR,WR9,78.1,78.1,78.1,78.1,78.1,23.3
25,16031,Damien Williams,KC,6,30,RB,RB14,null,null,null,null,null,24.6
26,19045,Aaron Jones,GB,13,27,RB,RB15,null,null,null,null,null,25.5
27,15534,Adam Thielen,MIN,7,31,WR,WR10,null,null,null,null,null,26
28,15076,Keenan Allen,LAC,7,30,WR,WR11,null,null,null,null,null,27.8
29,20824,Josh Jacobs,LV,8,24,RB,RB16,null,null,null,null,null,28
30,19822,Kerryon Johnson,DET,null,24,RB,RB17,1154,1154,1154,1154,1154,28.5
31,20882,David Montgomery,CHI,10,24,RB,RB18,null,null,null,null,null,29.1
32,19063,George Kittle,SF,6,28,TE,TE2,null,null,null,null,null,31.1
33,16524,Devonta Freeman,ATL,null,30,RB,RB19,777,777,777,777,777,31.7
34,19828,Sony Michel,NE,null,27,RB,RB20,90.4,90.4,90.4,90.4,90.4,33.8
35,16765,Amari Cooper,DAL,13,27,WR,WR12,null,null,null,null,null,33.9
36,17959,Derrick Henry,TEN,13,28,RB,RB21,null,null,null,null,null,35.4
37,16906,Stefon Diggs,MIN,7,28,WR,WR13,null,null,null,null,null,36.6
38,14856,Zach Ertz,PHI,12,31,TE,TE3,null,null,null,null,null,37.3
39,13337,Mark Ingram II,BAL,6,32,RB,RB22,null,null,null,null,null,37.5
40,16568,Brandin Cooks,LAR,10,28,WR,WR14,null,null,null,null,null,38.9
41,16776,Melvin Gordon III,LAC,11,29,RB,RB23,null,null,null,null,null,40.3
42,18998,Marlon Mack,IND,10,26,RB,RB24,null,null,null,null,null,41.5
43,18857,Deshaun Watson,HOU,13,26,QB,QB2,null,null,null,null,null,41.7
44,16830,Tyler Lockett,SEA,9,29,WR,WR15,null,null,null,null,null,42.5
45,18880,Chris Godwin,TB,9,26,WR,WR16,null,null,null,null,null,43.3
46,14871,Robert Woods,LAR,13,30,WR,WR17,null,null,null,null,null,44
47,8355,Julian Edelman,NE,null,35,WR,WR18,599,599,599,599,599,46
48,20128,Phillip Lindsay,DEN,null,27,RB,RB25,110.2,110.2,110.2,110.2,110.2,47.1
49,16834,Tevin Coleman,SF,6,29,RB,RB26,null,null,null,null,null,48.7
50,18882,Cooper Kupp,LAR,11,28,WR,WR19,null,null,null,null,null,49.1
51,20933,Miles Sanders,PHI,14,25,RB,RB27,null,null,null,null,null,49.5
52,14587,Josh Gordon,NE,12,31,WR,WR20,null,null,null,null,null,50.4
53,14005,T.Y. Hilton,IND,null,32,WR,WR21,null,null,null,null,null,52
54,2593,Aaron Rodgers,GB,13,38,QB,QB3,null,null,null,null,null,52.2
55,18977,Kenny Golladay,DET,10,28,WR,WR22,null,null,null,null,null,53
56,18901,O.J. Howard,TB,7,27,TE,TE4,null,null,null,null,null,54.1
57,18914,Mike Williams,LAC,7,27,WR,WR23,null,null,null,null,null,54.9
58,19562,Austin Ekeler,LAC,7,26,RB,RB28,null,null,null,null,null,55.7
59,16838,Duke Johnson,HOU,7,28,RB,RB29,null,null,null,null,null,57.1
60,13791,Lamar Miller,HOU,null,31,RB,RB30,647,647,647,647,647,57.8
61,19790,Baker Mayfield,CLE,13,27,QB,QB4,null,null,null,null,null,58.5
62,19802,Calvin Ridley,ATL,6,27,WR,WR24,null,null,null,null,null,59.1
63,18912,Evan Engram,NYG,7,27,TE,TE5,null,null,null,null,null,60
64,12845,A.J. Green,CIN,12,33,WR,WR25,null,null,null,null,null,61.4
65,17986,Tyler Boyd,CIN,10,27,WR,WR26,null,null,null,null,null,62.2
66,732,Matt Ryan,ATL,14,36,QB,QB5,null,null,null,null,null,62.4
67,19797,Derrius Guice,WAS,null,24,RB,RB31,null,null,null,null,null,63.3
68,17975,Hunter Henry,LAC,14,27,TE,TE6,null,null,null,null,null,63.9
69,16056,James White,NE,14,30,RB,RB32,null,null,null,null,null,66.6
70,18992,Dede Westbrook,JAX,null,28,WR,WR27,272,272,272,272,272,67.1
71,7242,Drew Brees,NO,null,43,QB,QB6,null,null,null,null,null,69.3
72,19844,DJ Moore,CAR,13,25,WR,WR28,null,null,null,null,null,69.6
73,17920,Carson Wentz,PHI,9,29,QB,QB7,null,null,null,null,null,69.9
74,15071,Latavius Murray,NO,null,32,RB,RB33,126.5,126.5,126.5,126.5,126.5,70.6
75,14187,Alshon Jeffery,PHI,null,32,WR,WR29,null,null,null,null,null,70.9
76,8534,Jared Cook,NO,null,35,TE,TE7,151,151,151,151,151,72.9
77,18187,Robby Anderson,NYJ,13,28,WR,WR30,null,null,null,null,null,73.6
78,16263,Allen Robinson II,CHI,11,28,WR,WR31,null,null,null,null,null,75.2
79,16020,Jarvis Landry,CLE,null,29,WR,WR32,118.3,118.3,118.3,118.3,118.3,76.3
80,15239,Vance McDonald,PIT,null,31,TE,TE8,null,null,null,null,null,77.8
81,20912,Tony Pollard,DAL,7,25,RB,RB34,null,null,null,null,null,78
