Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
308,18036,Ricardo Louis,CLE,null,28,WR,WR115,null,null,null,null,null,258
309,14850,Russell Shepard,CAR,null,31,WR,WR116,null,null,null,null,null,259
310,14478,Michael Floyd,MIN,null,32,WR,WR117,null,null,null,null,null,260
311,16728,Dontrelle Inman,LAC,null,33,WR,WR118,789,789,789,789,789,261
312,19064,Trent Taylor,SF,10,28,WR,WR119,null,null,null,null,null,262
313,19085,De'Angelo Henderson,DEN,null,29,RB,RB92,null,null,null,null,null,263
314,16189,Alfred Blue,HOU,null,31,RB,RB93,null,null,null,null,null,264
315,16456,TJ Jones,DET,null,29,WR,WR120,null,null,null,null,null,265
316,16867,Jeremy Langford,BAL,null,30,RB,RB94,null,null,null,null,null,266
317,17053,Malcolm Brown,LAR,null,28,RB,RB95,151.1,151.1,151.1,151.1,151.1,267
318,18996,Wayne Gallman,NYG,null,27,RB,RB96,150.4,150.4,150.4,150.4,150.4,268
319,17153,Jordan Taylor,DEN,null,30,WR,WR121,null,null,null,null,null,269
320,18974,Chad Williams,ARI,null,27,WR,WR122,1059,1059,1059,1059,1059,270
321,18285,Roger Lewis,NYG,null,28,WR,WR123,null,null,null,null,null,271
322,16211,Tom Savage,HOU,null,32,QB,QB33,null,null,null,null,null,272
323,19045,Aaron Jones,GB,13,27,RB,RB97,null,null,null,null,null,273
324,14424,Brian Quick,WAS,null,32,WR,WR124,null,null,null,null,null,274
325,19065,Jeremy McNichols,SF,null,26,RB,RB98,null,null,null,null,null,275
326,16081,Michael Campanaro,BAL,null,31,WR,WR125,null,null,null,null,null,276
327,18047,Demarcus Robinson,KC,8,27,WR,WR126,null,null,null,null,null,277
328,14978,Justin Hunter,PIT,null,30,WR,WR127,null,null,null,null,null,278
329,18257,Jalin Marshall,NYJ,null,26,WR,WR128,null,null,null,null,null,279
330,1589,John Kuhn,NO,null,39,FB,RB99,null,null,null,null,null,280
331,8534,Jared Cook,LV,null,35,TE,TE24,151,151,151,151,151,281
332,16699,Fitzgerald Toussaint,PIT,null,31,RB,RB100,null,null,null,null,null,282
333,14795,Josh Bellamy,CHI,null,32,WR,WR129,null,null,null,null,null,283
334,8771,Darrius Heyward-Bey,PIT,null,35,WR,WR130,null,null,null,null,null,284
335,15224,Andre Ellington,ARI,null,33,RB,RB101,null,null,null,null,null,286
336,16200,C.J. Fiedorowicz,HOU,null,30,TE,TE25,null,null,null,null,null,287
337,18811,Mitchell Trubisky,CHI,7,27,QB,QB34,null,null,null,null,null,288
338,17217,Raheem Mostert,SF,14,30,RB,RB102,null,null,null,null,null,289
339,18089,Rashard Higgins,CLE,13,27,WR,WR131,null,null,null,null,null,290
340,16848,Sammie Coates,CLE,null,29,WR,WR132,null,null,null,null,null,291
341,19043,Isaiah McKenzie,DEN,7,27,WR,WR133,null,null,null,null,null,293
342,15207,Benjamin Cunningham,CHI,null,31,RB,RB103,null,null,null,null,null,294
343,19033,Brian Hill,ATL,null,26,RB,RB104,null,null,null,null,null,295
344,16608,Austin Seferian-Jenkins,NYJ,null,29,TE,TE26,null,null,null,null,null,296
345,16529,Freddie Martino,TB,null,30,WR,WR134,null,null,null,null,null,297
346,14465,Jarius Wright,MIN,null,32,WR,WR135,null,null,null,null,null,298
347,2405,Chad Henne,JAX,12,36,QB,QB35,null,null,null,null,null,299
348,11565,Andre Roberts,ATL,null,34,WR,WR136,315,315,315,315,315,300
349,18032,Tyler Higbee,LAR,11,29,TE,TE27,null,null,null,null,null,301
350,18093,Andy Janovich,DEN,10,28,FB,RB105,null,null,null,null,null,302
351,16411,Ryan Grant,WAS,null,31,WR,WR137,null,null,null,null,null,303
352,15616,Fozzy Whittaker,CAR,null,33,RB,RB106,null,null,null,null,null,304
353,16934,Cameron Artis-Payne,CAR,null,29,RB,RB107,null,null,null,null,null,305
354,18602,Tanner McEvoy,SEA,null,29,WR,WR138,null,null,null,null,null,306
355,16469,Jared Abbrederis,DET,null,31,WR,WR139,null,null,null,null,null,307
356,11026,Jermaine Gresham,ARI,null,33,TE,TE28,null,null,null,null,null,308
357,18876,David Njoku,CLE,13,25,TE,TE29,null,null,null,null,null,309
358,19046,Deangelo Yancey,GB,null,27,WR,WR140,null,null,null,null,null,310
359,12415,Zach Miller,CHI,null,37,TE,TE30,null,null,null,null,null,311
