Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,18877,Christian McCaffrey,CAR,13,25,RB,RB1,null,null,null,null,null,1.3
2,19766,Saquon Barkley,NYG,10,25,RB,RB2,null,null,null,null,null,2.4
3,17923,Ezekiel Elliott,DAL,7,26,RB,RB3,null,null,null,null,null,3.3
4,18878,Alvin Kamara,NO,6,26,RB,RB4,null,null,null,null,null,4.8
5,17959,Derrick Henry,TEN,13,28,RB,RB5,null,null,null,null,null,5
6,18872,Dalvin Cook,MIN,7,26,RB,RB6,null,null,null,null,null,6
7,17960,Michael Thomas,NO,6,29,WR,WR1,null,null,null,null,null,7.9
8,21769,Clyde Edwards-Helaire,KC,12,23,RB,RB7,null,null,null,null,null,8.2
9,20824,Josh Jacobs,LV,8,24,RB,RB8,null,null,null,null,null,8.4
10,19798,Nick Chubb,CLE,13,26,RB,RB9,null,null,null,null,null,9.8
11,18890,Patrick Mahomes,KC,12,26,QB,QB1,null,null,null,null,null,10.3
12,18858,Joe Mixon,CIN,10,25,RB,RB10,null,null,null,null,null,11.1
13,20933,Miles Sanders,PHI,14,25,RB,RB11,null,null,null,null,null,13.2
14,16470,Davante Adams,GB,8,29,WR,WR2,null,null,null,null,null,13.6
15,18003,Kenyan Drake,ARI,8,28,RB,RB12,null,null,null,null,null,14.7
16,18082,Tyreek Hill,KC,14,28,WR,WR3,null,null,null,null,null,14.8
17,19045,Aaron Jones,GB,13,27,RB,RB13,null,null,null,null,null,16.2
18,19781,Lamar Jackson,BAL,8,25,QB,QB2,null,null,null,null,null,18.1
19,19562,Austin Ekeler,LAC,7,26,RB,RB14,null,null,null,null,null,18.2
19,13291,Julio Jones,ATL,null,33,WR,WR4,43.1,43.1,43.1,43.1,43.1,18.2
21,14986,DeAndre Hopkins,ARI,12,29,WR,WR5,null,null,null,null,null,20
22,15048,Travis Kelce,KC,12,32,TE,TE1,null,null,null,null,null,21
23,18983,James Conner,PIT,12,26,RB,RB15,null,null,null,null,null,22.5
24,18880,Chris Godwin,TB,9,26,WR,WR6,null,null,null,null,null,23.8
25,19119,Chris Carson,SEA,9,27,RB,RB16,null,null,null,null,null,25
26,18977,Kenny Golladay,DET,10,28,WR,WR7,null,null,null,null,null,25.6
27,19063,George Kittle,SF,6,28,TE,TE2,null,null,null,null,null,26.5
28,16597,Mike Evans,TB,9,28,WR,WR8,null,null,null,null,null,27.6
29,16847,David Johnson,HOU,null,30,RB,RB17,103.8,103.8,103.8,103.8,103.8,30
30,14967,Le'Veon Bell,NYJ,null,30,RB,RB18,476,476,476,476,476,30.1
31,15534,Adam Thielen,MIN,7,31,WR,WR9,null,null,null,null,null,30.6
32,16776,Melvin Gordon III,DEN,11,29,RB,RB19,null,null,null,null,null,31.5
33,18803,Leonard Fournette,TB,9,27,RB,RB20,null,null,null,null,null,32
34,16771,Todd Gurley II,ATL,null,27,RB,RB21,null,null,null,null,null,33.3
35,16765,Amari Cooper,DAL,13,27,WR,WR10,null,null,null,null,null,33.4
36,18882,Cooper Kupp,LAR,11,28,WR,WR11,null,null,null,null,null,35
37,21682,Jonathan Taylor,IND,14,23,RB,RB22,null,null,null,null,null,36.3
38,13337,Mark Ingram II,BAL,6,32,RB,RB23,null,null,null,null,null,36.8
39,19802,Calvin Ridley,ATL,6,27,WR,WR12,null,null,null,null,null,37.4
40,21042,A.J. Brown,TEN,14,24,WR,WR13,null,null,null,null,null,38.2
41,18883,JuJu Smith-Schuster,PIT,12,25,WR,WR14,null,null,null,null,null,38.4
42,16263,Allen Robinson II,CHI,11,28,WR,WR15,null,null,null,null,null,41
43,20882,David Montgomery,CHI,10,24,RB,RB24,null,null,null,null,null,41.5
44,20875,DK Metcalf,SEA,9,24,WR,WR16,null,null,null,null,null,42.4
45,19803,Mark Andrews,BAL,8,26,TE,TE3,null,null,null,null,null,42.5
46,16389,Odell Beckham Jr.,CLE,null,29,WR,WR17,68.6,68.6,68.6,68.6,68.6,43.6
47,20941,Devin Singletary,BUF,7,24,RB,RB25,null,null,null,null,null,44.5
