Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
56,15048,Travis Kelce,KC,TE,16,0,0,0,3,1,92,1125,9,0,0,0,0,10.7,170.8
57,18914,Mike Williams,LAC,WR,16,0,0,0,0,0,76,1146,9,0,0,0,0,10.7,170.6
58,22005,Jordyn Brooks,SEA,LB,17,0,0,0,0,0,0,0,0,1,0,0,1,10,169.7
59,20875,DK Metcalf,SEA,WR,17,0,0,0,6,0,75,967,12,0,0,0,0,10,169.3
60,16830,Tyler Lockett,SEA,WR,16,0,0,0,9,0,73,1175,8,0,0,0,0,10.5,168.4
61,21077,Diontae Johnson,PIT,WR,16,0,0,0,53,0,107,1161,8,0,0,0,0,10.5,167.4
62,16776,Melvin Gordon III,DEN,RB,16,0,0,0,918,8,28,213,2,0,0,0,0,10.4,167.1
63,20841,Daniel Jones,NYG,QB,11,2428,10,7,298,2,1,16,0,0,0,0,0,15.1,166.52
64,19827,Roquan Smith,CHI,ILB,17,0,0,0,0,0,0,0,0,3,1,0,0,9.7,165.5
65,19989,Daniel Carlson,LV,K,17,0,0,0,0,0,0,0,0,0,0,0,0,9.5,162
66,22558,Javonte Williams,DEN,RB,17,0,0,0,903,4,43,316,3,0,0,0,0,9.5,161.9
67,18037,De'Vondre Campbell,GB,OLB,16,0,0,0,0,0,0,0,0,2,2,2,1,10,160.8
68,11694,Nick Folk,NE,K,17,0,0,0,0,0,0,0,0,0,0,0,0,9.4,160
69,19852,Darius Leonard,IND,OLB,16,0,0,0,0,0,0,0,0,0,4,8,3,9.9,158.5
70,21,New England Patriots,NE,DST,17,0,0,0,0,0,0,0,0,36,23,11,7,9.3,158
71,20941,Devin Singletary,BUF,RB,17,0,0,0,870,7,40,228,1,0,0,0,0,9.3,157.8
72,19812,Sam Darnold,CAR,QB,12,2527,9,13,222,5,0,0,0,0,0,0,0,13.1,157.28
73,16618,Aaron Donald,LAR,DT,17,0,0,0,0,0,0,0,0,12.5,0,4,0,9.2,157.1
74,22505,Davis Mills,HOU,QB,13,2664,16,10,44,0,0,0,0,0,0,0,0,12.1,156.96
75,16093,C.J. Mosley,NYJ,ILB,16,0,0,0,0,0,0,0,0,2,0,2,0,9.8,156.4
76,20713,Nick Bosa,SF,DE,17,0,0,0,0,0,0,0,0,15.5,0,4,0,9.2,156.2
77,20924,Hunter Renfrow,LV,WR,17,0,0,0,3,0,103,1038,9,0,0,0,0,9.2,156.1
78,64,Miami Dolphins,MIA,DST,17,0,0,0,0,0,0,0,0,48,14,14,14,9.1,155
79,21679,CeeDee Lamb,DAL,WR,16,0,0,0,76,0,79,1102,6,0,0,0,0,9.6,153.8
80,20882,David Montgomery,CHI,RB,13,0,0,1,849,7,42,301,0,0,0,0,0,11.8,153
81,20769,Matt Gay,LAR,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.9,152
82,22495,Zach Wilson,NYJ,QB,13,2334,9,11,185,4,0,0,0,0,0,0,0,11.7,151.86
83,15076,Keenan Allen,LAC,WR,16,0,0,0,0,0,106,1138,6,0,0,0,0,9.5,151.8
84,21802,AJ Dillon,GB,RB,17,0,0,0,803,5,34,313,2,0,0,0,0,8.9,151.6
85,14534,Bobby Wagner,SEA,ILB,16,0,0,0,0,0,0,0,0,1,1,1,0,9.4,151.2
86,16806,Eric Kendricks,MIN,ILB,15,0,0,0,0,0,0,0,0,5,2,0,1,10.1,151.1
87,16191,Chris Boswell,PIT,K,17,0,0,0,0,0,0,0,0,0,0,0,1,8.9,151
87,549,Matt Prater,ARI,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.9,151
89,21744,Michael Pittman Jr.,IND,WR,17,0,0,0,44,0,88,1082,6,0,0,0,0,8.9,150.6
90,20325,Greg Joseph,MIN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,149
90,20500,Darrel Williams,KC,RB,17,0,0,0,558,6,47,452,2,0,0,0,0,8.8,149
90,14688,Justin Tucker,BAL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,149
93,20981,Devin White,TB,ILB,17,0,0,0,0,0,0,0,0,3.5,0,0,1,8.8,148.75
94,22908,Evan McPherson,CIN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.2,148
94,16809,Denzel Perryman,LV,ILB,15,0,0,0,0,0,0,0,0,0,0,1,2,9.9,148
94,37,Buffalo Bills,BUF,DST,17,0,0,0,0,0,0,0,0,42,19,12,11,8.7,148
97,13393,Robert Quinn,CHI,OLB,16,0,0,0,0,0,0,0,0,18.5,0,5,0,9.2,147.85
98,18807,Myles Garrett,CLE,DE,17,0,0,0,0,0,0,0,0,16,0,1,1,8.7,147.65
99,12902,Cameron Heyward,PIT,DT,17,0,0,0,0,0,0,0,0,10,1,1,1,8.6,147.05
100,21120,Cole Holcomb,WAS,ILB,16,0,0,0,0,0,0,0,0,1,2,2,1,9.2,147
101,21684,D'Andre Swift,DET,RB,13,0,0,0,617,5,62,452,2,0,0,0,0,11.3,146.9
102,22535,Elijah Mitchell,SF,RB,11,0,0,0,963,5,19,137,1,0,0,0,0,13.3,146
103,19940,Kyzir White,LAC,ILB,17,0,0,0,0,0,0,0,0,1,2,2,0,8.5,145.1
103,21690,Tee Higgins,CIN,WR,14,0,0,0,0,0,74,1091,6,0,0,0,0,10.4,145.1
105,19844,DJ Moore,CAR,WR,17,0,0,0,48,0,93,1157,4,0,0,0,0,8.5,144.5
106,18880,Chris Godwin,TB,WR,14,0,0,0,21,1,98,1103,5,0,0,0,0,10.3,144.4
107,95,Tampa Bay Buccaneers,TB,DST,17,0,0,0,0,0,0,0,0,47,17,16,13,8.4,143
108,21970,James Robinson,JAX,RB,14,0,0,0,767,8,31,222,0,0,0,0,0,10.2,142.9
109,16568,Brandin Cooks,HOU,WR,16,0,0,0,21,0,90,1037,6,0,0,0,0,8.9,141.8
109,22598,Jaylen Waddle,MIA,WR,16,0,0,0,3,1,104,1015,6,0,0,0,0,8.9,141.8
111,69,New Orleans Saints,NO,DST,17,0,0,0,0,0,0,0,0,46,18,13,7,8.3,141
112,19041,Jake Elliott,PHI,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.2,140
113,22108,Tyler Bass,BUF,K,17,0,0,0,0,0,0,0,0,0,0,0,0,8.2,139
114,17983,Deion Jones,ATL,ILB,16,0,0,0,0,0,0,0,0,2,0,1,0,8.7,138.7
114,21961,Darnell Mooney,CHI,WR,17,0,0,0,32,1,81,1055,4,0,0,0,0,8.2,138.7
116,14,Indianapolis Colts,IND,DST,17,0,0,0,0,0,0,0,0,33,19,18,16,8.1,138
117,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,61,1,90,912,5,0,0,0,0,8.1,137.3
117,16845,Jordan Hicks,ARI,ILB,17,0,0,0,0,0,0,0,0,5,0,1,2,8.1,137.3
119,20873,Terry McLaurin,WAS,WR,17,0,0,0,12,0,77,1053,5,0,0,0,0,8,136.5
120,19891,Fred Warner,SF,ILB,16,0,0,0,0,0,0,0,0,0.5,0,1,3,8.5,136
120,19073,Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.5,136
122,21045,Marquise Brown,BAL,WR,16,0,0,0,5,0,91,1008,6,0,0,0,0,8.5,135.3
123,19837,Derwin James Jr.,LAC,SS,15,0,0,0,0,0,0,0,0,2,2,3,0,9,134.75
124,16765,Amari Cooper,DAL,WR,15,0,0,0,0,0,68,865,8,0,0,0,0,9,134.5
125,20798,Darrell Henderson Jr.,LAR,RB,12,0,0,0,688,5,29,176,3,0,0,0,0,11.2,134.4
126,14867,Dustin Hopkins,LAC,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.9,134
127,14697,Greg Zuerlein,DAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.3,133
128,15534,Adam Thielen,MIN,WR,13,0,0,0,2,0,67,726,10,0,0,0,0,10.2,132.8
129,19862,Harold Landry III,TEN,OLB,17,0,0,0,0,0,0,0,0,12,0,1,0,7.8,132.5
130,17994,Kevin Byard,TEN,FS,17,0,0,0,0,0,0,0,0,1,5,2,1,7.7,131.1
131,8750,Ryan Succop,TB,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.7,131
131,17085,Alex Singleton,PHI,OLB,16,0,0,0,0,0,0,0,0,0,1,1,0,8.2,131
131,55,Kansas City Chiefs,KC,DST,17,0,0,0,0,0,0,0,0,31,15,18,15,7.7,131
134,13749,Chandler Jones,ARI,OLB,15,0,0,0,0,0,0,0,0,10.5,0,7,1,8.7,130.95
135,19920,Dalton Schultz,DAL,TE,17,0,0,0,0,0,78,808,8,0,0,0,0,7.7,130.8
136,19815,Christian Kirk,ARI,WR,17,33,0,0,11,0,77,982,5,0,0,0,0,7.7,130.62
137,1694,Mason Crosby,GB,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.6,130
138,19287,Kenny Moore II,IND,CB,17,0,0,0,0,0,0,0,0,1,4,1,0,7.6,129.1
139,20897,Bobby Okereke,IND,ILB,17,0,0,0,0,0,0,0,0,1,2,0,0,7.6,128.4
140,13338,Cameron Jordan,NO,DE,16,0,0,0,0,0,0,0,0,12.5,0,2,0,8,128.05
141,14461,Harrison Smith,MIN,SS,15,0,0,0,0,0,0,0,0,3,1,1,0,8.5,127.7
142,18124,Kamu Grugier-Hill,HOU,OLB,14,0,0,0,0,0,0,0,0,3,1,2,0,9.1,127.5
143,19063,George Kittle,SF,TE,14,0,0,0,20,0,71,910,6,0,0,0,0,9.1,127
144,22492,Justin Fields,CHI,QB,12,1870,7,10,420,2,0,0,0,0,0,0,0,10.6,126.8
145,19882,Jerome Baker,MIA,LB,16,0,0,0,0,0,0,0,0,5.5,1,1,0,7.9,126.7
146,1,Arizona Cardinals,ARI,DST,17,0,0,0,0,0,0,0,0,41,13,21,15,7.4,126
147,19318,Kendrick Bourne,NE,WR,17,25,1,0,125,0,55,800,5,0,0,0,0,7.4,125.5
148,18064,Matthew Judon,NE,OLB,17,0,0,0,0,0,0,0,0,12.5,0,0,1,7.4,125.4
149,19828,Sony Michel,LAR,RB,17,0,0,0,845,4,21,128,1,0,0,0,0,7.4,125.3
150,13810,Demario Davis,NO,OLB,16,0,0,0,0,0,0,0,0,3,0,0,0,7.8,125.1
151,19829,Minkah Fitzpatrick,PIT,FS,16,0,0,0,0,0,0,0,0,0,2,1,1,7.8,125
152,20768,Myles Gaskin,MIA,RB,17,0,0,0,612,3,49,234,4,0,0,0,0,7.3,124.6
153,21109,Quincy Williams,NYJ,OLB,16,0,0,0,0,0,0,0,0,2,0,3,0,7.7,123.9
154,14860,Jordan Poyer,BUF,SS,16,0,0,0,0,0,0,0,0,3,5,0,0,7.7,123.1
155,67,Minnesota Vikings,MIN,DST,17,0,0,0,0,0,0,0,0,51,16,13,9,7.2,123
155,34,Tennessee Titans,TEN,DST,17,0,0,0,0,0,0,0,0,43,16,13,6,7.2,123
157,16271,Shaquil Barrett,TB,OLB,15,0,0,0,0,0,0,0,0,10,1,3,2,8.2,122.85
158,13961,Randy Bullock,TEN,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122
159,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,64,916,5,0,0,1,0,7.2,121.6
159,22004,Isaiah Simmons,ARI,LB,17,0,0,0,0,0,0,0,0,1.5,1,4,0,7.2,121.6
161,14888,Logan Ryan,NYG,DB,15,0,0,0,0,0,0,0,0,1,0,2,1,8.1,121.4
162,20983,Christian Wilkins,MIA,DT,17,0,0,0,0,0,1,1,1,4.5,0,1,1,7.1,121.1
