Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,19801,Josh Allen,BUF,QB,16,4544,37,10,421,8,1,12,1,0,0,0,0,24.7,395.06
2,2593,Aaron Rodgers,GB,QB,16,4299,48,5,149,3,1,-6,0,0,0,0,0,23.9,382.26
3,20889,Kyler Murray,ARI,QB,16,3971,26,12,819,11,0,0,0,0,0,0,0,23.7,378.74
4,18890,Patrick Mahomes,KC,QB,15,4740,38,6,308,2,0,0,0,0,0,0,0,25,374.4
5,18857,Deshaun Watson,HOU,QB,16,4823,33,7,444,3,0,0,0,0,0,0,0,23.1,369.32
6,14536,Russell Wilson,SEA,QB,16,4212,40,13,513,2,0,0,0,0,0,0,0,22.5,359.78
7,13799,Ryan Tannehill,TEN,QB,16,3819,33,7,266,7,1,0,0,0,0,0,0,21.5,343.36
8,4314,Tom Brady,TB,QB,16,4633,40,12,6,3,0,0,0,0,0,0,0,21.1,337.92
9,21681,Justin Herbert,LAC,QB,15,4336,31,10,234,5,0,0,0,0,0,0,0,22.2,332.84
10,19781,Lamar Jackson,BAL,QB,15,2757,26,9,1005,7,0,0,0,0,0,0,0,22.2,332.78
11,17959,Derrick Henry,TEN,RB,16,0,0,0,2027,17,19,114,0,0,0,0,0,19.6,314.1
12,14252,Kirk Cousins,MIN,QB,16,4265,35,13,156,1,0,0,0,0,0,0,0,19.1,306.2
13,18878,Alvin Kamara,NO,RB,15,0,0,0,932,16,83,756,5,0,0,0,0,19.7,294.8
14,18872,Dalvin Cook,MIN,RB,14,0,0,0,1557,16,44,361,1,0,0,0,0,21,293.8
15,732,Matt Ryan,ATL,QB,16,4581,26,11,92,2,0,0,0,0,0,0,0,17.5,280.44
16,16311,Derek Carr,LV,QB,16,4103,27,9,140,3,0,0,0,0,0,0,0,17,272.12
17,3807,Ben Roethlisberger,PIT,QB,15,3803,33,10,11,0,0,0,0,0,0,0,0,17.8,267.22
18,9038,Matthew Stafford,DET,QB,16,4084,26,10,112,0,0,0,0,0,0,0,0,16.3,260.56
19,13320,Cam Newton,NE,QB,15,2657,8,10,592,12,2,35,1,0,0,0,0,17.3,258.98
20,19790,Baker Mayfield,CLE,QB,16,3563,26,8,165,1,1,6,0,0,0,0,0,15.5,247.62
21,16470,Davante Adams,GB,WR,14,0,0,0,0,0,115,1374,18,0,0,0,0,17.4,243.4
22,18082,Tyreek Hill,KC,WR,15,0,0,0,123,2,87,1276,15,0,0,1,0,16.1,241.9
23,16497,Teddy Bridgewater,CAR,QB,15,3733,15,11,279,5,0,0,0,0,0,0,0,16.1,241.22
24,17922,Jared Goff,LAR,QB,15,3952,20,13,99,4,0,0,0,0,0,0,0,16,239.98
25,8244,Philip Rivers,IND,QB,16,4169,24,11,-8,0,0,0,0,0,0,0,0,15,239.96
26,21682,Jonathan Taylor,IND,RB,15,0,0,0,1169,11,36,299,1,0,0,0,0,14.5,216.8
27,19045,Aaron Jones,GB,RB,14,0,0,0,1104,9,47,355,2,0,0,0,0,15.1,211.9
28,20882,David Montgomery,CHI,RB,15,0,0,0,1070,8,54,438,2,0,0,0,0,14.1,210.8
29,7242,Drew Brees,NO,QB,12,2942,24,6,-2,2,0,0,0,0,0,0,0,17.5,209.48
30,15048,Travis Kelce,KC,TE,15,4,0,0,0,0,105,1416,11,0,0,0,0,13.9,207.76
31,16906,Stefon Diggs,BUF,WR,16,0,0,0,1,0,127,1535,8,0,0,0,0,12.6,201.6
32,21970,James Robinson,JAX,RB,14,0,0,0,1070,7,49,344,3,0,0,0,0,14.4,201.4
33,17920,Carson Wentz,PHI,QB,12,2620,16,15,276,5,0,0,0,0,0,0,0,16.5,198.4
34,20824,Josh Jacobs,LV,RB,15,0,0,0,1065,12,33,238,0,0,0,0,0,13.2,198.3
35,19798,Nick Chubb,CLE,RB,12,0,0,0,1067,12,16,150,0,0,0,0,0,16,191.7
36,19802,Calvin Ridley,ATL,WR,15,0,0,0,1,0,90,1374,9,0,0,0,0,12.8,191.5
37,20981,Devin White,TB,ILB,15,0,0,0,0,0,0,0,0,9,0,2,1,12.7,189.9
38,20875,DK Metcalf,SEA,WR,16,0,0,0,0,0,83,1303,10,0,0,0,0,11.8,188.3
39,21685,Justin Jefferson,MIN,WR,16,0,0,0,2,0,88,1400,7,0,0,0,0,11.6,186.2
40,20859,Drew Lock,DEN,QB,13,2933,16,15,160,3,0,0,0,0,0,0,0,13.9,181.32
41,18944,Kareem Hunt,CLE,RB,16,0,0,0,841,6,38,304,5,0,0,0,0,11.3,180.5
42,20841,Daniel Jones,NYG,QB,14,2943,11,10,423,1,0,0,0,0,0,0,0,12.9,180.02
43,15534,Adam Thielen,MIN,WR,15,0,0,0,15,0,74,925,14,0,0,0,0,12,180
44,16597,Mike Evans,TB,WR,16,0,0,0,0,0,70,1006,13,0,0,0,0,11.2,178.6
45,21693,Joe Burrow,CIN,QB,10,2688,13,5,142,3,0,0,0,0,0,0,0,17.4,173.72
46,14986,DeAndre Hopkins,ARI,WR,16,0,0,0,1,0,115,1407,6,0,0,0,0,10.8,172.8
47,17923,Ezekiel Elliott,DAL,RB,15,0,0,0,979,6,52,338,2,0,0,0,0,11.4,171.7
48,16964,Darren Waller,LV,TE,16,0,0,0,0,0,107,1196,9,0,0,0,0,10.7,171.6
49,21042,A.J. Brown,TEN,WR,14,0,0,0,0,0,70,1075,11,0,0,0,0,12.2,171.5
50,18916,T.J. Watt,PIT,OLB,15,0,0,0,0,0,0,0,0,15,1,1,0,11.4,170.55
51,19827,Roquan Smith,CHI,ILB,16,0,0,0,0,0,0,0,0,4,2,1,0,10.6,169.7
52,18003,Kenyan Drake,ARI,RB,15,0,0,0,955,10,25,137,0,0,0,0,0,11.1,167.2
53,16776,Melvin Gordon III,DEN,RB,15,0,0,0,986,9,32,158,1,0,0,0,0,11.1,166.4
54,21861,Antonio Gibson,WAS,RB,14,0,0,0,795,11,36,247,0,0,0,0,0,11.9,166.2
55,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,100,1054,10,0,0,0,0,10.3,165.4
56,16263,Allen Robinson II,CHI,WR,16,0,0,0,-1,0,102,1250,6,0,0,0,0,10.1,160.9
57,18052,Blake Martinez,NYG,ILB,16,0,0,0,0,0,0,0,0,3,1,2,1,10,160.3
58,20033,Jason Sanders,MIA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,10,160
58,19565,Younghoe Koo,ATL,K,15,0,0,0,0,0,0,0,0,0,0,0,0,10.7,160
60,17967,Joe Schobert,JAX,ILB,16,0,0,0,0,0,0,0,0,2.5,3,2,0,10,159.7
61,20880,Gardner Minshew,JAX,QB,9,2259,16,5,153,1,1,0,0,0,0,0,0,17.7,159.66
62,18956,Zach Cunningham,HOU,OLB,16,0,0,0,0,0,0,0,0,3,0,1,0,9.9,159.1
63,19861,Ronald Jones II,TB,RB,14,0,0,0,978,7,28,165,1,0,0,0,0,11.3,158.3
64,17926,Jaylon Smith,DAL,ILB,16,0,0,0,0,0,0,0,0,1.5,1,1,3,9.8,156.65
65,14871,Robert Woods,LAR,WR,16,0,0,0,155,2,90,936,6,0,0,0,0,9.7,155.1
66,18811,Mitchell Trubisky,CHI,QB,10,2055,16,8,195,1,0,0,0,0,0,0,0,15.4,153.7
67,21752,Chase Claypool,PIT,WR,16,0,0,0,16,2,62,873,9,0,0,0,0,9.6,152.9
68,8283,Ryan Fitzpatrick,MIA,QB,9,2091,13,8,151,2,1,0,0,0,0,0,0,17,152.74
69,19989,Daniel Carlson,LV,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.5,152
70,13870,Marvin Jones Jr.,DET,WR,16,0,0,0,0,0,76,978,9,0,0,0,0,9.5,151.8
71,19852,Darius Leonard,IND,OLB,14,0,0,0,0,0,0,0,0,3,0,3,2,10.8,151.6
72,17983,Deion Jones,ATL,ILB,16,0,0,0,0,0,0,0,0,4.5,2,2,1,9.5,151.35
73,16568,Brandin Cooks,HOU,WR,15,0,0,0,0,0,81,1150,6,0,0,0,0,10.1,151
73,14,Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,40,15,14,11,9.4,151
75,19119,Chris Carson,SEA,RB,12,0,0,0,681,5,37,287,4,0,0,0,0,12.6,150.8
76,21674,J.K. Dobbins,BAL,RB,15,0,0,0,805,9,18,120,0,0,0,0,0,10,150.5
77,28,Pittsburgh Steelers,PIT,DST,16,0,0,0,0,0,0,0,0,56,18,12,10,9.4,150
78,22108,Tyler Bass,BUF,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.3,149
78,32,Los Angeles Rams,LAR,DST,16,0,0,0,0,0,0,0,0,53,14,11,8,9.3,149
80,19238,Taysom Hill,NO,QB,16,928,4,2,457,8,8,98,1,0,0,0,0,9.3,148.62
81,16887,Mike Davis,CAR,RB,15,0,0,0,642,6,59,373,2,0,0,0,0,9.8,147.5
82,14534,Bobby Wagner,SEA,ILB,16,0,0,0,0,0,0,0,0,3,0,0,1,9.2,146.9
83,16847,David Johnson,HOU,RB,12,0,0,0,691,6,33,314,2,0,0,0,0,12.2,146.5
84,19844,DJ Moore,CAR,WR,15,0,0,0,22,0,66,1193,4,0,0,1,0,9.7,145.5
85,15076,Keenan Allen,LAC,WR,14,0,0,0,-1,0,100,992,8,0,0,0,0,10.4,145.1
86,14375,Lavonte David,TB,ILB,16,0,0,0,0,0,0,0,0,1.5,1,3,2,9.1,145
87,16765,Amari Cooper,DAL,WR,16,0,0,0,14,0,92,1114,5,0,0,0,0,9,144.8
88,21684,D'Andre Swift,DET,RB,13,0,0,0,521,8,46,357,2,0,0,0,0,11.1,143.8
89,19273,Eric Wilson,MIN,OLB,16,0,0,0,0,0,0,0,0,3,3,1,2,9,143.45
90,18909,Haason Reddick,ARI,OLB,16,0,0,0,0,0,0,0,0,12.5,0,5,0,9,143.35
91,36,Baltimore Ravens,BAL,DST,16,0,0,0,0,0,0,0,0,39,10,25,13,8.9,143
92,20933,Miles Sanders,PHI,RB,12,0,0,0,867,6,28,197,0,0,0,0,0,11.9,142.4
93,22112,Rodrigo Blankenship,IND,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141
93,14697,Greg Zuerlein,DAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141
95,14860,Jordan Poyer,BUF,SS,16,0,0,0,0,0,0,0,0,2,2,2,0,8.8,140.4
96,21769,Clyde Edwards-Helaire,KC,RB,13,0,0,0,803,4,36,297,1,0,0,0,0,10.8,140
97,19882,Jerome Baker,MIA,LB,16,0,0,0,0,0,0,0,0,7,0,2,0,8.7,139.95
98,19891,Fred Warner,SF,ILB,16,0,0,0,0,0,0,0,0,1,2,1,2,8.7,139.6
99,64,Miami Dolphins,MIA,DST,16,0,0,0,0,0,0,0,0,41,18,17,10,8.7,139
100,20007,Foyesade Oluokun,ATL,ILB,15,0,0,0,0,0,0,0,0,3,2,2,1,9.3,138.9
101,21921,Jeremy Chinn,CAR,S,15,0,0,0,29,0,0,0,0,1,1,2,2,9.2,138.5
102,16771,Todd Gurley II,ATL,RB,15,0,0,0,678,9,25,164,0,0,0,0,0,9.2,138.2
103,8750,Ryan Succop,TB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.6,138
104,21679,CeeDee Lamb,DAL,WR,16,0,0,0,82,1,74,935,5,0,0,0,0,8.6,137.7
105,16781,Nelson Agholor,LV,WR,16,0,0,0,0,0,48,896,8,0,0,0,0,8.6,137.6
106,18883,JuJu Smith-Schuster,PIT,WR,16,0,0,0,0,0,97,831,9,0,0,0,1,8.6,137.1
107,17145,Neville Hewitt,NYJ,ILB,16,0,0,0,0,0,0,0,0,2,0,0,1,8.6,136.9
108,20873,Terry McLaurin,WAS,WR,15,0,0,0,30,0,87,1118,4,0,0,0,0,9.1,136.8
108,18927,Budda Baker,ARI,FS,15,0,0,0,0,0,0,0,0,2,2,1,0,9.1,136.8
110,21982,Patrick Queen,BAL,LB,16,0,0,0,0,0,0,0,0,3,1,2,2,8.5,136.7
111,14688,Justin Tucker,BAL,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.5,136
112,17916,William Fuller V,HOU,WR,11,0,0,0,0,0,53,879,8,0,0,0,0,12.4,135.9
113,12841,Andy Dalton,DAL,QB,11,2169,14,8,114,0,1,-3,0,0,0,0,0,12.4,135.86
114,13810,Demario Davis,NO,OLB,16,0,0,0,0,0,0,0,0,4,0,0,0,8.5,135.6
115,21677,Tua Tagovailoa,MIA,QB,10,1814,11,5,109,3,0,0,0,0,0,0,0,13.5,135.46
116,16618,Aaron Donald,LAR,DT,16,0,0,0,0,0,0,0,0,13.5,0,4,1,8.5,135.4
117,18928,Curtis Samuel,CAR,WR,15,0,0,0,200,2,77,851,3,0,0,0,0,9,135.1
118,18055,Dak Prescott,DAL,QB,5,1856,9,4,93,3,1,11,1,0,0,0,0,26.9,134.64
119,16883,Za'Darius Smith,GB,OLB,16,0,0,0,0,0,0,0,0,12.5,0,3,2,8.4,134.15
120,19812,Sam Darnold,NYJ,QB,12,2208,9,11,217,2,0,0,0,0,0,0,0,11.2,134.02
121,21077,Diontae Johnson,PIT,WR,15,0,0,0,15,0,88,923,7,0,0,0,0,8.9,133.8
122,19073,Harrison Butker,KC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,131
123,17085,Alex Singleton,PHI,OLB,16,0,0,0,0,0,0,0,0,2,1,0,2,8.2,130.8
124,19912,Nyheim Hines,IND,RB,16,0,0,0,380,3,63,482,4,0,0,0,0,8.1,130.2
125,16301,Cairo Santos,CHI,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,130
126,18917,Marlon Humphrey,BAL,CB,15,0,0,0,0,0,0,0,0,2.5,1,8,0,8.7,129.95
126,18923,Jamal Adams,SEA,SS,12,0,0,0,0,0,0,0,0,9.5,0,1,0,10.8,129.95
128,18983,James Conner,PIT,RB,13,0,0,0,721,6,35,215,0,0,0,0,0,10,129.6
129,18807,Myles Garrett,CLE,DE,14,0,0,0,0,0,0,0,0,12,0,4,2,9.2,129.3
129,20360,Jeff Wilson Jr.,SF,RB,11,0,0,0,600,7,13,133,3,0,0,0,0,11.8,129.3
131,18187,Robby Anderson,CAR,WR,16,0,0,0,15,0,95,1096,3,0,0,0,0,8.1,129.1
132,18478,Wil Lutz,NO,K,16,0,0,0,0,0,0,0,0,0,0,0,0,8,128
132,14996,Brandon McManus,DEN,K,15,0,0,0,0,0,0,0,0,0,0,0,0,8.5,128
134,21690,Tee Higgins,CIN,WR,16,0,0,0,28,0,67,908,6,0,0,0,0,8,127.6
135,17081,Tyrell Adams,HOU,LB,16,0,0,0,0,0,0,0,0,2,0,2,1,8,127.5
136,97,Washington Commanders,WAS,DST,16,0,0,0,0,0,0,0,0,47,16,14,7,7.9,127
137,9196,Malcolm Jenkins,NO,SS,16,0,0,0,0,0,0,0,0,2.5,3,1,1,7.9,126.5
138,18879,Corey Davis,TEN,WR,14,0,0,0,0,0,65,984,5,0,0,0,0,9,126.4
139,18215,Ka'imi Fairbairn,HOU,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.9,126
139,18880,Chris Godwin,TB,WR,12,0,0,0,0,0,65,840,7,0,0,0,0,10.5,126
141,17933,DeForest Buckner,IND,DT,15,0,0,0,0,0,0,0,0,9.5,0,2,1,8.4,125.8
142,16767,Leonard Williams,NYG,DE,16,0,0,0,0,0,0,0,0,11.5,0,0,1,7.9,125.65
143,14141,Cole Beasley,BUF,WR,15,20,1,0,0,0,82,967,4,0,0,0,0,8.4,125.5
144,12247,Jason Pierre-Paul,TB,OLB,16,0,0,0,0,0,0,0,0,9.5,2,4,2,7.8,125.2
145,21045,Marquise Brown,BAL,WR,16,0,0,0,1,0,58,769,8,0,0,0,0,7.8,125
145,17215,Jason Myers,SEA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,125
147,19491,Robert Tonyan,GB,TE,16,0,0,0,0,0,52,586,11,0,0,0,0,7.8,124.6
148,21747,Brandon Aiyuk,SF,WR,12,0,0,0,77,2,60,748,5,0,0,0,0,10.4,124.5
149,17925,Myles Jack,JAX,OLB,14,0,0,0,0,0,0,0,0,1,1,1,2,8.9,124.1
150,10333,Graham Gano,NYG,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,124
151,19873,Jessie Bates III,CIN,FS,16,0,0,0,0,0,0,0,0,0,3,1,0,7.7,123.5
152,20768,Myles Gaskin,MIA,RB,10,0,0,0,584,3,41,388,2,0,0,0,0,12.3,123.2
153,19287,Kenny Moore II,IND,CB,16,0,0,0,0,0,0,0,0,2,4,2,0,7.6,122.1
154,21519,Joey Slye,CAR,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122
154,69,New Orleans Saints,NO,DST,16,0,0,0,0,0,0,0,0,45,18,7,8,7.6,122
156,16035,Malcolm Butler,TEN,CB,16,0,0,0,0,0,0,0,0,0,4,0,0,7.5,120
157,20239,Gus Edwards,BAL,RB,16,0,0,0,723,6,9,129,0,0,0,1,0,7.4,119.2
158,21052,Brian Burns,CAR,DE,15,0,0,0,0,0,0,0,0,9,0,3,0,7.9,118.8
159,17991,Vonn Bell,CIN,SS,16,0,0,0,0,0,0,0,0,0,0,3,2,7.4,118.5
160,20956,Montez Sweat,WAS,DE,16,0,0,0,0,0,0,0,0,9,1,2,0,7.4,118.2
161,20715,Alexander Johnson,DEN,ILB,16,0,0,0,0,0,0,0,0,1,0,2,0,7.4,118
161,37,Buffalo Bills,BUF,DST,16,0,0,0,0,0,0,0,0,38,15,15,11,7.4,118
163,16845,Jordan Hicks,ARI,ILB,16,0,0,0,0,0,0,0,0,0,1,0,0,7.3,117.5
164,95,Tampa Bay Buccaneers,TB,DST,16,0,0,0,0,0,0,0,0,48,15,15,10,7.3,117
165,18882,Cooper Kupp,LAR,WR,15,0,0,0,33,0,92,974,3,0,0,0,0,7.8,116.7
166,18023,Justin Simmons,DEN,FS,16,0,0,0,0,0,0,0,0,0,5,0,1,7.3,116.5
167,19330,Nick Mullens,SF,QB,10,2437,12,12,8,0,0,0,0,0,0,0,0,11.6,116.28
168,16020,Jarvis Landry,CLE,WR,15,74,1,0,10,1,72,840,3,0,0,0,0,7.7,115.96
169,16323,Khalil Mack,CHI,OLB,16,0,0,0,0,0,0,0,0,9,1,3,2,7.2,115.9
170,14888,Logan Ryan,NYG,DB,16,0,0,0,0,0,0,0,0,1,1,3,2,7.2,115.7
171,19836,Tremaine Edmunds,BUF,LB,15,0,0,0,0,0,0,0,0,2,0,0,0,7.7,115.6
171,18996,Wayne Gallman,NYG,RB,15,0,0,0,682,6,21,114,0,0,0,0,0,7.7,115.6
173,15113,Jon Bostic,WAS,ILB,16,0,0,0,0,0,0,0,0,3,1,0,0,7.2,115.4
174,12955,J.J. Watt,HOU,DE,16,0,0,0,0,0,0,0,0,5,1,2,1,7.2,115.1
175,1694,Mason Crosby,GB,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115
175,14867,Dustin Hopkins,WAS,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.2,115
175,19919,Chase Edmonds,ARI,RB,16,0,0,0,448,1,53,402,4,0,0,0,0,7.2,115
178,13484,K.J. Wright,SEA,OLB,16,0,0,0,0,0,0,0,0,2,1,1,2,7.2,114.8
179,22092,Chase Young,WAS,DE,15,0,0,0,0,0,0,0,0,7.5,0,4,3,7.6,114.45
180,16159,Stephon Tuitt,PIT,DE,15,0,0,0,0,0,0,0,0,11,0,2,0,7.6,114.35
181,19867,Michael Gallup,DAL,WR,16,0,0,0,0,0,59,843,5,0,0,0,0,7.1,114.3
181,20798,Darrell Henderson Jr.,LAR,RB,15,0,0,0,624,5,16,159,1,0,0,0,0,7.6,114.3
183,17294,Troy Hill,LAR,CB,16,0,0,0,0,0,0,0,0,0,3,1,2,7.1,114
183,2982,Stephen Gostkowski,TEN,K,15,0,0,0,0,0,0,0,0,0,0,0,0,7.6,114
185,16724,Adrian Phillips,NE,SS,16,0,0,0,0,0,0,0,0,1,2,0,0,7.1,113.9
186,17986,Tyler Boyd,CIN,WR,15,16,0,0,49,0,79,841,4,0,0,0,0,7.6,113.64
187,19070,Chuck Clark,BAL,SS,16,0,0,0,0,0,0,0,0,1.5,1,2,2,7.1,113.6
188,17942,Keanu Neal,ATL,S,15,0,0,0,0,0,0,0,0,1,1,1,1,7.6,113.4
189,15071,Latavius Murray,NO,RB,15,0,0,0,656,4,23,176,1,0,0,0,0,7.5,113.2
190,16866,Jamison Crowder,NYJ,WR,12,43,1,0,14,0,59,699,6,0,0,0,0,9.4,113.02
191,549,Matt Prater,DET,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7.1,113
192,16467,Kyle Van Noy,MIA,LB,14,0,0,0,0,0,0,0,0,6,0,2,2,8,112.7
193,19928,Taron Johnson,BUF,CB,16,0,0,0,0,0,0,0,0,1,1,1,0,7,112.6
194,16786,Shaq Thompson,CAR,ILB,16,0,0,0,0,0,0,0,0,0,0,2,1,7,112.5
194,4807,Adrian Peterson,DET,RB,16,0,0,0,604,7,12,101,0,0,0,0,0,7,112.5
194,18902,Jabrill Peppers,NYG,SS,15,0,0,0,0,0,0,0,0,2.5,1,1,1,7.5,112.5
197,19803,Mark Andrews,BAL,TE,14,0,0,0,0,0,58,701,7,0,0,0,0,8,112.1
198,11694,Nick Folk,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
198,20144,Michael Badgley,LAC,K,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
200,19310,Nicholas Morrow,LV,OLB,14,0,0,0,0,0,0,0,0,3,1,1,1,8,111.9
200,18268,Romeo Okwara,DET,OLB,16,0,0,0,0,0,0,0,0,10,0,2,1,7,111.9
202,14885,Jamie Collins Sr.,DET,LB,14,0,0,0,0,0,0,0,0,1,1,3,1,8,111.6
203,18464,J.D. McKissic,WAS,RB,16,0,0,0,365,1,80,589,2,0,0,0,0,7,111.4
204,19562,Austin Ekeler,LAC,RB,10,0,0,0,530,1,54,403,2,0,0,0,0,11.1,111.3
205,14916,Giovani Bernard,CIN,RB,16,0,0,0,416,3,47,355,3,0,0,0,0,6.9,111.1
205,16271,Shaquil Barrett,TB,OLB,15,0,0,0,0,0,0,0,0,8,0,2,0,7.4,111.1
207,21940,Antoine Winfield Jr.,TB,S,16,0,0,0,0,0,0,0,0,3,1,2,1,6.9,111
207,17994,Kevin Byard,TEN,FS,16,0,0,0,0,0,0,0,0,0,1,1,0,6.9,111
209,18939,Marcus Maye,NYJ,FS,16,0,0,0,0,0,0,0,0,2,2,2,2,6.9,110.6
210,19207,Tim Patrick,DEN,WR,15,0,0,0,0,0,51,742,6,0,0,0,0,7.3,110.2
211,21923,Kamren Curl,WAS,S,16,0,0,0,0,0,0,0,0,2,3,0,0,6.9,110.1
211,19933,Josey Jewell,DEN,ILB,16,0,0,0,0,0,0,0,0,2,0,0,0,6.9,110.1
213,55,Kansas City Chiefs,KC,DST,16,0,0,0,0,0,0,0,0,32,16,12,7,6.9,110
214,20006,Russell Gage,ATL,WR,16,39,1,0,9,0,72,786,4,0,0,0,0,6.8,109.06
215,17935,Leonard Floyd,LAR,OLB,16,0,0,0,0,0,0,0,0,10.5,0,0,2,6.8,108.7
216,16303,Daniel Sorensen,KC,FS,15,0,0,0,0,0,0,0,0,0,3,1,0,7.2,108.5
216,20991,Khari Willis,IND,SS,14,0,0,0,0,0,0,0,0,2,2,1,0,7.8,108.5
216,16806,Eric Kendricks,MIN,ILB,11,0,0,0,0,0,0,0,0,0,3,0,0,9.9,108.5
219,21831,Jalen Hurts,PHI,QB,15,1061,6,4,357,3,1,3,0,0,0,0,0,7.2,108.44
220,20805,T.J. Hockenson,DET,TE,16,0,0,0,0,0,67,723,6,0,0,0,0,6.8,108.3
221,14005,T.Y. Hilton,IND,WR,15,0,0,0,0,0,56,762,5,0,0,0,0,7.2,108.2
222,16902,Adrian Amos,GB,FS,16,0,0,0,0,0,0,0,0,2,2,1,1,6.7,107.7
223,15186,A.J. Klein,BUF,OLB,16,0,0,0,0,0,0,0,0,5,0,2,1,6.7,107.3
224,1,Arizona Cardinals,ARI,DST,16,0,0,0,0,0,0,0,0,48,11,14,10,6.7,107
225,19862,Harold Landry III,TEN,OLB,16,0,0,0,0,0,0,0,0,5.5,1,0,0,6.7,106.85
226,17958,Emmanuel Ogbah,MIA,DE,16,0,0,0,0,0,0,0,0,9,0,3,0,6.7,106.55
227,14461,Harrison Smith,MIN,SS,16,0,0,0,0,0,0,0,0,0.5,5,0,0,6.7,106.5
228,19853,Mike Gesicki,MIA,TE,15,0,0,0,0,0,53,703,6,0,0,0,0,7.1,106.3
228,16182,Avery Williamson,PIT,ILB,15,0,0,0,0,0,0,0,0,1,1,0,0,7.1,106.3
228,14057,Danny Trevathan,CHI,ILB,16,0,0,0,0,0,0,0,0,1,0,1,0,6.6,106.3
231,16366,DeMarcus Lawrence,DAL,DE,16,0,0,0,0,0,0,0,0,6.5,0,4,1,6.6,106.15
232,18914,Mike Williams,LAC,WR,15,0,0,0,1,0,48,756,5,0,1,0,0,7,105.7
233,20941,Devin Singletary,BUF,RB,16,0,0,0,687,2,38,269,0,0,0,0,0,6.6,105.6
