Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,18890,Patrick Mahomes,KC,QB,16,5097,50,12,272,2,0,0,0,0,0,0,0,26.1,417.08
2,732,Matt Ryan,ATL,QB,16,4924,35,7,125,3,1,5,1,0,0,0,0,22.1,353.96
3,3807,Ben Roethlisberger,PIT,QB,16,5129,34,16,98,3,1,-1,0,0,0,0,0,21.3,340.86
4,18857,Deshaun Watson,HOU,QB,16,4165,26,9,551,5,0,0,0,0,0,0,0,20.7,331.7
5,14008,Andrew Luck,IND,QB,16,4593,39,15,148,0,1,4,0,0,0,0,0,20.4,326.92
6,16771,Todd Gurley II,LAR,RB,14,0,0,0,1251,17,59,580,4,0,0,0,0,22.4,313.1
7,2593,Aaron Rodgers,GB,QB,16,4442,25,2,269,2,0,0,0,0,0,0,0,19.5,312.58
8,17922,Jared Goff,LAR,QB,16,4688,32,12,108,2,0,0,0,0,0,0,0,19.4,310.32
9,7242,Drew Brees,NO,QB,15,3992,32,5,22,4,1,1,0,0,0,0,0,20.3,303.98
10,14536,Russell Wilson,SEA,QB,16,3448,35,7,376,0,1,-11,0,0,0,0,0,18.7,298.42
11,19766,Saquon Barkley,NYG,RB,16,0,0,0,1307,11,91,721,4,0,0,0,0,18.4,294.8
12,18055,Dak Prescott,DAL,QB,16,3884,22,8,305,6,0,0,0,0,0,0,0,17.9,285.86
13,8244,Philip Rivers,LAC,QB,16,4308,32,12,7,0,0,0,0,0,0,0,0,17.8,285.02
14,13320,Cam Newton,CAR,QB,14,3395,24,13,488,4,0,0,0,0,0,0,0,20.2,282.6
15,14252,Kirk Cousins,MIN,QB,16,4298,30,10,123,1,1,-1,0,0,0,0,0,17.6,282.12
16,4314,Tom Brady,NE,QB,16,4355,29,11,35,2,1,6,0,0,0,0,0,17.5,280.3
17,18877,Christian McCaffrey,CAR,RB,16,50,1,0,1098,7,107,867,6,0,0,0,0,17.4,278.5
18,18878,Alvin Kamara,NO,RB,15,0,0,0,883,14,81,709,4,0,0,0,0,18.2,273.2
19,18811,Mitchell Trubisky,CHI,QB,14,3223,24,12,421,3,0,0,0,0,0,0,0,18.8,263.02
20,17923,Ezekiel Elliott,DAL,RB,15,0,0,0,1435,6,77,567,3,0,0,0,0,16.8,252.2
21,18082,Tyreek Hill,KC,WR,16,0,0,0,151,1,87,1479,12,0,0,0,0,15.1,241
22,19790,Baker Mayfield,CLE,QB,14,3725,27,14,131,0,0,0,0,0,0,0,1,17.2,240.1
23,4932,Eli Manning,NYG,QB,16,4299,21,11,20,1,0,0,0,0,0,0,0,15,239.96
24,16776,Melvin Gordon III,LAC,RB,12,0,0,0,885,10,50,490,4,0,0,0,0,18.8,225.5
25,18983,James Conner,PIT,RB,13,0,0,0,973,12,55,497,1,0,0,0,0,17.3,225
26,11056,Antonio Brown,PIT,WR,15,0,0,0,0,0,104,1297,15,0,0,0,0,14.6,219.7
27,16470,Davante Adams,GB,WR,15,0,0,0,0,0,111,1386,13,0,0,0,0,14.6,218.6
28,14986,DeAndre Hopkins,HOU,WR,16,0,0,0,-7,0,115,1572,11,0,0,0,0,13.7,218.5
