Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,19781,Lamar Jackson,BAL,QB,15,3127,36,6,1206,7,0,0,0,0,0,0,0,27.7,415.68
2,18877,Christian McCaffrey,CAR,RB,16,0,0,0,1387,15,116,1005,4,0,0,0,0,22.2,355.2
3,18055,Dak Prescott,DAL,QB,16,4902,30,11,277,3,0,0,0,0,0,0,0,21.1,337.78
4,14536,Russell Wilson,SEA,QB,16,4110,31,5,342,3,0,0,0,0,0,0,0,20.5,328.6
5,18857,Deshaun Watson,HOU,QB,15,3852,26,12,413,7,1,6,1,0,0,0,0,21.3,319.98
6,16762,Jameis Winston,TB,QB,16,5109,33,30,250,1,0,0,0,0,0,0,0,19.1,305.36
7,19801,Josh Allen,BUF,QB,16,3089,20,9,510,9,0,0,0,0,0,0,0,18,288.56
8,18890,Patrick Mahomes,KC,QB,14,4031,26,5,218,2,0,0,0,0,0,0,0,20.5,287.04
9,20889,Kyler Murray,ARI,QB,16,3722,20,12,544,4,0,0,0,0,0,0,0,17.8,285.28
10,2593,Aaron Rodgers,GB,QB,16,4002,26,4,183,1,0,0,0,0,0,0,0,17.4,278.38
11,17959,Derrick Henry,TEN,RB,15,0,0,0,1540,16,18,206,2,0,0,0,0,18.4,276.6
12,17920,Carson Wentz,PHI,QB,16,4039,27,7,243,1,0,0,0,0,0,0,0,17.2,275.86
13,732,Matt Ryan,ATL,QB,15,4466,26,14,147,1,0,0,0,0,0,0,0,17.8,267.34
14,19045,Aaron Jones,GB,RB,16,0,0,0,1084,16,49,474,3,0,0,0,0,16.6,265.8
15,4314,Tom Brady,NE,QB,16,4057,24,8,34,3,0,0,0,0,0,0,0,16.5,263.68
16,17923,Ezekiel Elliott,DAL,RB,16,0,0,0,1357,12,54,420,2,0,0,0,0,16.1,257.7
17,17922,Jared Goff,LAR,QB,16,4638,22,16,40,2,0,0,0,0,0,0,0,15.5,247.52
18,16041,Jimmy Garoppolo,SF,QB,16,3978,27,13,62,1,0,0,0,0,0,0,0,15.5,247.32
